date,Chelsea Football Club,Chelsea,isPartial
2015-08-08 15:04:00,0,31,False
2015-08-08 15:12:00,0,34,False
2015-08-08 15:20:00,0,33,False
2015-08-08 15:28:00,0,38,False
2015-08-08 15:36:00,0,40,False
2015-08-08 15:44:00,0,39,False
2015-08-08 15:52:00,0,48,False
2015-08-08 16:00:00,0,53,False
2015-08-08 16:08:00,0,55,False
2015-08-08 16:16:00,0,62,False
2015-08-08 16:24:00,0,72,False
2015-08-08 16:32:00,0,81,False
2015-08-08 16:40:00,0,75,False
2015-08-08 16:48:00,0,77,False
2015-08-08 16:56:00,0,81,False
2015-08-08 17:04:00,0,76,False
2015-08-08 17:12:00,0,74,False
2015-08-08 17:20:00,0,73,False
2015-08-08 17:28:00,0,71,False
2015-08-08 17:36:00,0,78,False
2015-08-08 17:44:00,0,97,False
2015-08-08 17:52:00,0,96,False
2015-08-08 18:00:00,0,91,False
2015-08-08 18:08:00,0,89,False
2015-08-08 18:16:00,0,88,False
2015-08-08 18:24:00,0,100,False
2015-08-08 18:32:00,0,81,False
2015-08-08 18:40:00,0,69,False
2015-08-08 18:48:00,0,63,False
2015-08-08 18:56:00,0,56,False
2015-08-08 19:04:00,0,51,False
2015-08-08 19:12:00,0,49,False
2015-08-08 19:20:00,0,44,False
2015-08-08 19:28:00,0,44,False
2015-08-08 19:36:00,0,39,False
2015-08-08 19:44:00,0,38,False
2015-08-08 19:52:00,0,38,False
2015-08-08 20:00:00,0,36,False
2015-08-08 20:08:00,0,35,False
2015-08-08 20:16:00,0,34,False
2015-08-08 20:24:00,0,33,False
2015-08-08 20:32:00,0,33,False
2015-08-08 20:40:00,0,31,False
2015-08-08 20:48:00,0,31,False
2015-08-08 20:56:00,0,32,False
2015-08-16 14:00:00,0,36,False
2015-08-16 14:08:00,0,36,False
2015-08-16 14:16:00,0,43,False
2015-08-16 14:24:00,0,49,False
2015-08-16 14:32:00,0,52,False
2015-08-16 14:40:00,0,57,False
2015-08-16 14:48:00,0,67,False
2015-08-16 14:56:00,0,92,False
2015-08-16 15:04:00,0,97,False
2015-08-16 15:12:00,0,90,False
2015-08-16 15:20:00,0,79,False
2015-08-16 15:28:00,0,84,False
2015-08-16 15:36:00,0,80,False
2015-08-16 15:44:00,0,98,False
2015-08-16 15:52:00,0,81,False
2015-08-16 16:00:00,0,77,False
2015-08-16 16:08:00,0,74,False
2015-08-16 16:16:00,0,77,False
2015-08-16 16:24:00,0,75,False
2015-08-16 16:32:00,0,74,False
2015-08-16 16:40:00,0,95,False
2015-08-16 16:48:00,0,100,False
2015-08-16 16:56:00,0,94,False
2015-08-16 17:04:00,0,76,False
2015-08-16 17:12:00,0,67,False
2015-08-16 17:20:00,0,61,False
2015-08-16 17:28:00,0,56,False
2015-08-16 17:36:00,0,52,False
2015-08-16 17:44:00,0,48,False
2015-08-16 17:52:00,0,47,False
2015-08-16 18:00:00,0,44,False
2015-08-16 18:08:00,0,41,False
2015-08-16 18:16:00,0,38,False
2015-08-16 18:24:00,0,39,False
2015-08-16 18:32:00,0,37,False
2015-08-16 18:40:00,0,36,False
2015-08-16 18:48:00,0,35,False
2015-08-16 18:56:00,0,34,False
2015-08-16 19:04:00,0,33,False
2015-08-16 19:12:00,0,32,False
2015-08-16 19:20:00,0,31,False
2015-08-16 19:28:00,0,31,False
2015-08-16 19:36:00,0,29,False
2015-08-16 19:44:00,0,29,False
2015-08-16 19:52:00,0,30,False
2015-08-16 20:00:00,0,30,False
2015-08-23 11:04:00,0,38,False
2015-08-23 11:12:00,0,39,False
2015-08-23 11:20:00,0,42,False
2015-08-23 11:28:00,0,48,False
2015-08-23 11:36:00,0,51,False
2015-08-23 11:44:00,0,51,False
2015-08-23 11:52:00,0,51,False
2015-08-23 12:00:00,0,57,False
2015-08-23 12:08:00,0,60,False
2015-08-23 12:16:00,0,70,False
2015-08-23 12:24:00,0,82,False
2015-08-23 12:32:00,0,92,False
2015-08-23 12:40:00,0,88,False
2015-08-23 12:48:00,0,100,False
2015-08-23 12:56:00,0,99,False
2015-08-23 13:04:00,0,91,False
2015-08-23 13:12:00,0,91,False
2015-08-23 13:20:00,0,89,False
2015-08-23 13:28:00,0,84,False
2015-08-23 13:36:00,0,78,False
2015-08-23 13:44:00,0,90,False
2015-08-23 13:52:00,0,94,False
2015-08-23 14:00:00,0,85,False
2015-08-23 14:08:00,0,82,False
2015-08-23 14:16:00,0,76,False
2015-08-23 14:24:00,0,92,False
2015-08-23 14:32:00,0,80,False
2015-08-23 14:40:00,0,71,False
2015-08-23 14:48:00,0,64,False
2015-08-23 14:56:00,0,56,False
2015-08-23 15:04:00,0,54,False
2015-08-23 15:12:00,0,48,False
2015-08-23 15:20:00,0,48,False
2015-08-23 15:28:00,0,45,False
2015-08-23 15:36:00,0,45,False
2015-08-23 15:44:00,0,43,False
2015-08-23 15:52:00,0,46,False
2015-08-23 16:00:00,0,43,False
2015-08-23 16:08:00,0,38,False
2015-08-23 16:16:00,0,37,False
2015-08-23 16:24:00,0,36,False
2015-08-23 16:32:00,0,36,False
2015-08-23 16:40:00,0,35,False
2015-08-23 16:48:00,0,36,False
2015-08-23 16:56:00,0,38,False
2015-08-29 13:04:00,0,35,False
2015-08-29 13:12:00,0,34,False
2015-08-29 13:20:00,0,35,False
2015-08-29 13:28:00,0,36,False
2015-08-29 13:36:00,0,45,False
2015-08-29 13:44:00,0,46,False
2015-08-29 13:52:00,0,53,False
2015-08-29 14:00:00,0,60,False
2015-08-29 14:08:00,0,53,False
2015-08-29 14:16:00,0,50,False
2015-08-29 14:24:00,0,50,False
2015-08-29 14:32:00,0,48,False
2015-08-29 14:40:00,0,47,False
2015-08-29 14:48:00,0,54,False
2015-08-29 14:56:00,0,48,False
2015-08-29 15:04:00,0,49,False
2015-08-29 15:12:00,0,52,False
2015-08-29 15:20:00,0,68,False
2015-08-29 15:28:00,0,73,False
2015-08-29 15:36:00,0,86,False
2015-08-29 15:44:00,0,85,False
2015-08-29 15:52:00,0,100,False
2015-08-29 16:00:00,0,88,False
2015-08-29 16:08:00,0,75,False
2015-08-29 16:16:00,0,67,False
2015-08-29 16:24:00,0,62,False
2015-08-29 16:32:00,0,56,False
2015-08-29 16:40:00,0,55,False
2015-08-29 16:48:00,0,50,False
2015-08-29 16:56:00,0,49,False
2015-08-29 17:04:00,0,46,False
2015-08-29 17:12:00,0,46,False
2015-08-29 17:20:00,0,44,False
2015-08-29 17:28:00,0,43,False
2015-08-29 17:36:00,0,40,False
2015-08-29 17:44:00,0,41,False
2015-08-29 17:52:00,0,38,False
2015-08-29 18:00:00,0,39,False
2015-08-29 18:08:00,0,38,False
2015-08-29 18:16:00,0,38,False
2015-08-29 18:24:00,0,38,False
2015-08-29 18:32:00,0,36,False
2015-08-29 18:40:00,0,36,False
2015-08-29 18:48:00,0,35,False
2015-08-29 18:56:00,0,35,False
2015-09-12 10:00:00,0,22,False
2015-09-12 10:08:00,0,22,False
2015-09-12 10:16:00,0,22,False
2015-09-12 10:24:00,0,25,False
2015-09-12 10:32:00,0,27,False
2015-09-12 10:40:00,0,28,False
2015-09-12 10:48:00,0,32,False
2015-09-12 10:56:00,0,34,False
2015-09-12 11:04:00,0,35,False
2015-09-12 11:12:00,0,37,False
2015-09-12 11:20:00,0,41,False
2015-09-12 11:28:00,0,47,False
2015-09-12 11:36:00,0,54,False
2015-09-12 11:44:00,0,72,False
2015-09-12 11:52:00,0,68,False
2015-09-12 12:00:00,0,75,False
2015-09-12 12:08:00,0,92,False
2015-09-12 12:16:00,0,87,False
2015-09-12 12:24:00,0,76,False
2015-09-12 12:32:00,0,75,False
2015-09-12 12:40:00,0,69,False
2015-09-12 12:48:00,0,74,False
2015-09-12 12:56:00,0,87,False
2015-09-12 13:04:00,0,78,False
2015-09-12 13:12:00,0,81,False
2015-09-12 13:20:00,0,87,False
2015-09-12 13:28:00,0,100,False
2015-09-12 13:36:00,0,91,False
2015-09-12 13:44:00,0,81,False
2015-09-12 13:52:00,0,67,False
2015-09-12 14:00:00,0,59,False
2015-09-12 14:08:00,0,53,False
2015-09-12 14:16:00,0,49,False
2015-09-12 14:24:00,0,42,False
2015-09-12 14:32:00,0,43,False
2015-09-12 14:40:00,0,40,False
2015-09-12 14:48:00,0,41,False
2015-09-12 14:56:00,0,39,False
2015-09-12 15:04:00,0,33,False
2015-09-12 15:12:00,0,33,False
2015-09-12 15:20:00,0,32,False
2015-09-12 15:28:00,0,30,False
2015-09-12 15:36:00,0,30,False
2015-09-12 15:44:00,0,29,False
2015-09-12 15:52:00,0,32,False
2015-09-12 16:00:00,0,31,False
2015-09-19 10:00:00,0,27,False
2015-09-19 10:08:00,0,27,False
2015-09-19 10:16:00,0,29,False
2015-09-19 10:24:00,0,31,False
2015-09-19 10:32:00,0,32,False
2015-09-19 10:40:00,0,37,False
2015-09-19 10:48:00,0,39,False
2015-09-19 10:56:00,0,42,False
2015-09-19 11:04:00,0,43,False
2015-09-19 11:12:00,0,46,False
2015-09-19 11:20:00,0,54,False
2015-09-19 11:28:00,0,62,False
2015-09-19 11:36:00,0,76,False
2015-09-19 11:44:00,0,100,False
2015-09-19 11:52:00,0,95,False
2015-09-19 12:00:00,0,90,False
2015-09-19 12:08:00,0,86,False
2015-09-19 12:16:00,0,81,False
2015-09-19 12:24:00,0,73,False
2015-09-19 12:32:00,0,88,False
2015-09-19 12:40:00,0,85,False
2015-09-19 12:48:00,0,82,False
2015-09-19 12:56:00,0,92,False
2015-09-19 13:04:00,0,89,False
2015-09-19 13:12:00,0,82,False
2015-09-19 13:20:00,0,82,False
2015-09-19 13:28:00,0,81,False
2015-09-19 13:36:00,0,87,False
2015-09-19 13:44:00,0,80,False
2015-09-19 13:52:00,0,71,False
2015-09-19 14:00:00,0,62,False
2015-09-19 14:08:00,0,55,False
2015-09-19 14:16:00,0,51,False
2015-09-19 14:24:00,0,46,False
2015-09-19 14:32:00,0,43,False
2015-09-19 14:40:00,0,40,False
2015-09-19 14:48:00,0,39,False
2015-09-19 14:56:00,0,37,False
2015-09-19 15:04:00,0,34,False
2015-09-19 15:12:00,0,34,False
2015-09-19 15:20:00,0,32,False
2015-09-19 15:28:00,0,31,False
2015-09-19 15:36:00,0,30,False
2015-09-19 15:44:00,0,29,False
2015-09-19 15:52:00,0,29,False
2015-09-19 16:00:00,0,29,False
2015-09-26 15:04:00,0,28,False
2015-09-26 15:12:00,0,29,False
2015-09-26 15:20:00,0,30,False
2015-09-26 15:28:00,0,34,False
2015-09-26 15:36:00,0,33,False
2015-09-26 15:44:00,0,35,False
2015-09-26 15:52:00,0,41,False
2015-09-26 16:00:00,0,45,False
2015-09-26 16:08:00,0,44,False
2015-09-26 16:16:00,0,48,False
2015-09-26 16:24:00,0,55,False
2015-09-26 16:32:00,0,64,False
2015-09-26 16:40:00,0,61,False
2015-09-26 16:48:00,0,60,False
