date,Liverpool Football Club,Liverpool,isPartial
2015-08-29 14:08:00,0,89,False
2015-08-29 14:16:00,0,80,False
2015-08-29 14:24:00,0,80,False
2015-08-29 14:32:00,0,78,False
2015-08-29 14:40:00,0,75,False
2015-08-29 14:48:00,0,74,False
2015-08-29 14:56:00,0,70,False
2015-08-29 15:04:00,0,76,False
2015-08-29 15:12:00,0,82,False
2015-08-29 15:20:00,0,73,False
2015-08-29 15:28:00,0,70,False
2015-08-29 15:36:00,0,69,False
2015-08-29 15:44:00,0,67,False
2015-08-29 15:52:00,0,86,False
2015-08-29 16:00:00,0,77,False
2015-08-29 16:08:00,0,66,False
2015-08-29 16:16:00,0,57,False
2015-08-29 16:24:00,0,53,False
2015-08-29 16:32:00,0,51,False
2015-08-29 16:40:00,0,47,False
2015-08-29 16:48:00,0,46,False
2015-08-29 16:56:00,0,45,False
2015-08-29 17:04:00,0,44,False
2015-08-29 17:12:00,0,42,False
2015-08-29 17:20:00,0,42,False
2015-08-29 17:28:00,0,38,False
2015-08-29 17:36:00,0,39,False
2015-08-29 17:44:00,0,37,False
2015-08-29 17:52:00,0,38,False
2015-08-29 18:00:00,0,36,False
2015-08-29 18:08:00,0,37,False
2015-08-29 18:16:00,0,35,False
2015-08-29 18:24:00,0,36,False
2015-08-29 18:32:00,0,35,False
2015-08-29 18:40:00,0,34,False
2015-08-29 18:48:00,0,32,False
2015-08-29 18:56:00,0,34,False
2015-09-12 15:04:00,0,27,False
2015-09-12 15:12:00,0,29,False
2015-09-12 15:20:00,0,31,False
2015-09-12 15:28:00,0,35,False
2015-09-12 15:36:00,0,36,False
2015-09-12 15:44:00,0,39,False
2015-09-12 15:52:00,0,46,False
2015-09-12 16:00:00,0,52,False
2015-09-12 16:08:00,0,55,False
2015-09-12 16:16:00,0,66,False
2015-09-12 16:24:00,0,84,False
2015-09-12 16:32:00,0,100,False
2015-09-12 16:40:00,0,93,False
2015-09-12 16:48:00,0,87,False
2015-09-12 16:56:00,0,83,False
2015-09-12 17:04:00,0,77,False
2015-09-12 17:12:00,0,74,False
2015-09-12 17:20:00,0,67,False
2015-09-12 17:28:00,0,68,False
