date,Newcastle United Football Club,isPartial
2015-08-09 11:04:00,28,False
2015-08-09 11:12:00,0,False
2015-08-09 11:20:00,0,False
2015-08-09 11:28:00,0,False
2015-08-09 11:36:00,79,False
2015-08-09 11:44:00,0,False
2015-08-09 11:52:00,0,False
2015-08-09 12:00:00,0,False
2015-08-09 12:08:00,25,False
2015-08-09 12:16:00,100,False
2015-08-09 12:24:00,25,False
2015-08-09 12:32:00,49,False
2015-08-09 12:40:00,0,False
2015-08-09 12:48:00,48,False
2015-08-09 12:56:00,0,False
2015-08-09 13:04:00,24,False
2015-08-09 13:12:00,23,False
2015-08-09 13:20:00,0,False
2015-08-09 13:28:00,23,False
2015-08-09 13:36:00,46,False
2015-08-09 13:44:00,68,False
2015-08-09 13:52:00,0,False
2015-08-09 14:00:00,22,False
2015-08-09 14:08:00,0,False
2015-08-09 14:16:00,44,False
2015-08-09 14:24:00,65,False
2015-08-09 14:32:00,0,False
2015-08-09 14:40:00,22,False
2015-08-09 14:48:00,0,False
2015-08-09 14:56:00,0,False
2015-08-09 15:04:00,44,False
2015-08-09 15:12:00,0,False
2015-08-09 15:20:00,22,False
2015-08-09 15:28:00,65,False
2015-08-09 15:36:00,0,False
2015-08-09 15:44:00,22,False
2015-08-09 15:52:00,22,False
2015-08-09 16:00:00,0,False
2015-08-09 16:08:00,22,False
2015-08-09 16:16:00,0,False
2015-08-09 16:24:00,0,False
2015-08-09 16:32:00,0,False
2015-08-09 16:40:00,0,False
2015-08-09 16:48:00,44,False
2015-08-09 16:56:00,0,False
2015-08-15 13:04:00,100,False
2015-08-15 13:12:00,0,False
2015-08-15 13:20:00,0,False
2015-08-15 13:28:00,0,False
2015-08-15 13:36:00,0,False
2015-08-15 13:44:00,0,False
2015-08-15 13:52:00,0,False
2015-08-15 14:00:00,47,False
2015-08-15 14:08:00,47,False
2015-08-15 14:16:00,46,False
2015-08-15 14:24:00,92,False
2015-08-15 14:32:00,0,False
2015-08-15 14:40:00,0,False
2015-08-15 14:48:00,91,False
2015-08-15 14:56:00,0,False
2015-08-15 15:04:00,46,False
2015-08-15 15:12:00,0,False
2015-08-15 15:20:00,91,False
2015-08-15 15:28:00,46,False
2015-08-15 15:36:00,46,False
2015-08-15 15:44:00,92,False
2015-08-15 15:52:00,0,False
2015-08-15 16:00:00,0,False
2015-08-15 16:08:00,46,False
2015-08-15 16:16:00,0,False
2015-08-15 16:24:00,0,False
2015-08-15 16:32:00,47,False
2015-08-15 16:40:00,47,False
2015-08-15 16:48:00,0,False
2015-08-15 16:56:00,0,False
2015-08-15 17:04:00,0,False
2015-08-15 17:12:00,48,False
2015-08-15 17:20:00,48,False
2015-08-15 17:28:00,0,False
2015-08-15 17:36:00,0,False
2015-08-15 17:44:00,0,False
2015-08-15 17:52:00,0,False
2015-08-15 18:00:00,49,False
2015-08-15 18:08:00,50,False
2015-08-15 18:16:00,0,False
2015-08-15 18:24:00,0,False
2015-08-15 18:32:00,51,False
2015-08-15 18:40:00,0,False
2015-08-15 18:48:00,0,False
2015-08-15 18:56:00,0,False
2015-08-22 10:00:00,0,False
2015-08-22 10:08:00,67,False
2015-08-22 10:16:00,33,False
2015-08-22 10:24:00,0,False
2015-08-22 10:32:00,0,False
2015-08-22 10:40:00,0,False
2015-08-22 10:48:00,32,False
2015-08-22 10:56:00,0,False
2015-08-22 11:04:00,0,False
2015-08-22 11:12:00,62,False
2015-08-22 11:20:00,0,False
2015-08-22 11:28:00,91,False
2015-08-22 11:36:00,90,False
2015-08-22 11:44:00,0,False
2015-08-22 11:52:00,0,False
2015-08-22 12:00:00,0,False
2015-08-22 12:08:00,29,False
2015-08-22 12:16:00,29,False
2015-08-22 12:24:00,28,False
2015-08-22 12:32:00,0,False
2015-08-22 12:40:00,55,False
2015-08-22 12:48:00,55,False
2015-08-22 12:56:00,0,False
2015-08-22 13:04:00,54,False
2015-08-22 13:12:00,80,False
2015-08-22 13:20:00,26,False
2015-08-22 13:28:00,0,False
2015-08-22 13:36:00,0,False
2015-08-22 13:44:00,26,False
2015-08-22 13:52:00,25,False
2015-08-22 14:00:00,0,False
2015-08-22 14:08:00,25,False
2015-08-22 14:16:00,75,False
2015-08-22 14:24:00,0,False
2015-08-22 14:32:00,100,False
2015-08-22 14:40:00,49,False
2015-08-22 14:48:00,0,False
2015-08-22 14:56:00,25,False
2015-08-22 15:04:00,0,False
2015-08-22 15:12:00,25,False
2015-08-22 15:20:00,0,False
2015-08-22 15:28:00,25,False
2015-08-22 15:36:00,0,False
2015-08-22 15:44:00,25,False
2015-08-22 15:52:00,25,False
2015-08-22 16:00:00,0,False
2015-08-29 10:00:00,0,False
2015-08-29 10:08:00,0,False
2015-08-29 10:16:00,43,False
2015-08-29 10:24:00,0,False
2015-08-29 10:32:00,0,False
2015-08-29 10:40:00,0,False
2015-08-29 10:48:00,0,False
2015-08-29 10:56:00,0,False
2015-08-29 11:04:00,0,False
2015-08-29 11:12:00,79,False
2015-08-29 11:20:00,39,False
2015-08-29 11:28:00,0,False
2015-08-29 11:36:00,38,False
2015-08-29 11:44:00,0,False
2015-08-29 11:52:00,74,False
2015-08-29 12:00:00,0,False
2015-08-29 12:08:00,73,False
2015-08-29 12:16:00,36,False
2015-08-29 12:24:00,72,False
2015-08-29 12:32:00,35,False
2015-08-29 12:40:00,35,False
2015-08-29 12:48:00,69,False
2015-08-29 12:56:00,0,False
2015-08-29 13:04:00,34,False
2015-08-29 13:12:00,0,False
2015-08-29 13:20:00,100,False
