date,Norwich City Football Club,isPartial
2015-08-30 14:48:00,43,False
2015-08-30 14:56:00,43,False
2015-08-30 15:04:00,57,False
2015-08-30 15:12:00,14,False
2015-08-30 15:20:00,43,False
2015-08-30 15:28:00,43,False
2015-08-30 15:36:00,29,False
2015-08-30 15:44:00,14,False
2015-08-30 15:52:00,14,False
2015-08-30 16:00:00,29,False
2015-08-30 16:08:00,29,False
2015-08-30 16:16:00,0,False
2015-08-30 16:24:00,14,False
2015-08-30 16:32:00,29,False
2015-08-30 16:40:00,29,False
2015-08-30 16:48:00,29,False
2015-08-30 16:56:00,14,False
2015-09-12 13:04:00,14,False
2015-09-12 13:12:00,13,False
2015-09-12 13:20:00,27,False
2015-09-12 13:28:00,13,False
2015-09-12 13:36:00,39,False
2015-09-12 13:44:00,13,False
2015-09-12 13:52:00,26,False
2015-09-12 14:00:00,13,False
2015-09-12 14:08:00,25,False
2015-09-12 14:16:00,0,False
2015-09-12 14:24:00,50,False
2015-09-12 14:32:00,38,False
2015-09-12 14:40:00,0,False
2015-09-12 14:48:00,50,False
2015-09-12 14:56:00,37,False
2015-09-12 15:04:00,0,False
2015-09-12 15:12:00,25,False
2015-09-12 15:20:00,100,False
2015-09-12 15:28:00,62,False
2015-09-12 15:36:00,37,False
2015-09-12 15:44:00,25,False
2015-09-12 15:52:00,37,False
2015-09-12 16:00:00,37,False
2015-09-12 16:08:00,37,False
2015-09-12 16:16:00,12,False
2015-09-12 16:24:00,25,False
2015-09-12 16:32:00,50,False
2015-09-12 16:40:00,51,False
2015-09-12 16:48:00,25,False
2015-09-12 16:56:00,0,False
2015-09-12 17:04:00,38,False
2015-09-12 17:12:00,25,False
2015-09-12 17:20:00,38,False
2015-09-12 17:28:00,13,False
2015-09-12 17:36:00,26,False
2015-09-12 17:44:00,13,False
2015-09-12 17:52:00,13,False
2015-09-12 18:00:00,13,False
2015-09-12 18:08:00,27,False
2015-09-12 18:16:00,66,False
2015-09-12 18:24:00,27,False
2015-09-12 18:32:00,13,False
2015-09-12 18:40:00,14,False
2015-09-12 18:48:00,14,False
2015-09-12 18:56:00,55,False
2015-09-20 14:00:00,10,False
2015-09-20 14:08:00,10,False
2015-09-20 14:16:00,10,False
2015-09-20 14:24:00,20,False
2015-09-20 14:32:00,10,False
2015-09-20 14:40:00,10,False
2015-09-20 14:48:00,51,False
2015-09-20 14:56:00,50,False
2015-09-20 15:04:00,10,False
2015-09-20 15:12:00,40,False
2015-09-20 15:20:00,40,False
2015-09-20 15:28:00,60,False
2015-09-20 15:36:00,10,False
