date,Tottenham Hotspur Football Club,Tottenham,isPartial
2015-08-08 10:00:00,0,13,False
2015-08-08 10:08:00,0,14,False
2015-08-08 10:16:00,0,14,False
2015-08-08 10:24:00,0,16,False
2015-08-08 10:32:00,0,17,False
2015-08-08 10:40:00,0,20,False
2015-08-08 10:48:00,0,23,False
2015-08-08 10:56:00,0,26,False
2015-08-08 11:04:00,0,28,False
2015-08-08 11:12:00,0,33,False
2015-08-08 11:20:00,0,39,False
2015-08-08 11:28:00,0,52,False
2015-08-08 11:36:00,0,71,False
2015-08-08 11:44:00,0,100,False
2015-08-08 11:52:00,0,87,False
2015-08-08 12:00:00,0,79,False
2015-08-08 12:08:00,0,70,False
2015-08-08 12:16:00,0,63,False
2015-08-08 12:24:00,0,51,False
2015-08-08 12:32:00,0,50,False
2015-08-08 12:40:00,0,46,False
2015-08-08 12:48:00,0,50,False
2015-08-08 12:56:00,0,48,False
2015-08-08 13:04:00,0,46,False
2015-08-08 13:12:00,0,44,False
2015-08-08 13:20:00,0,39,False
2015-08-08 13:28:00,0,36,False
2015-08-08 13:36:00,0,36,False
2015-08-08 13:44:00,0,29,False
2015-08-08 13:52:00,0,25,False
2015-08-08 14:00:00,0,22,False
2015-08-08 14:08:00,0,19,False
2015-08-08 14:16:00,0,17,False
2015-08-08 14:24:00,0,15,False
2015-08-08 14:32:00,0,15,False
2015-08-08 14:40:00,0,13,False
2015-08-08 14:48:00,0,13,False
2015-08-08 14:56:00,0,12,False
2015-08-08 15:04:00,0,12,False
2015-08-08 15:12:00,0,11,False
2015-08-08 15:20:00,0,10,False
2015-08-08 15:28:00,0,10,False
2015-08-08 15:36:00,0,9,False
2015-08-08 15:44:00,0,9,False
2015-08-08 15:52:00,0,9,False
2015-08-08 16:00:00,0,9,False
2015-08-15 13:04:00,0,44,False
2015-08-15 13:12:00,0,41,False
2015-08-15 13:20:00,0,41,False
2015-08-15 13:28:00,0,44,False
2015-08-15 13:36:00,0,65,False
2015-08-15 13:44:00,0,70,False
2015-08-15 13:52:00,0,89,False
2015-08-15 14:00:00,0,100,False
2015-08-15 14:08:00,0,90,False
2015-08-15 14:16:00,0,90,False
2015-08-15 14:24:00,0,85,False
2015-08-15 14:32:00,0,69,False
2015-08-15 14:40:00,0,69,False
2015-08-15 14:48:00,0,72,False
2015-08-15 14:56:00,0,62,False
2015-08-15 15:04:00,0,63,False
2015-08-15 15:12:00,0,66,False
2015-08-15 15:20:00,0,73,False
2015-08-15 15:28:00,0,69,False
2015-08-15 15:36:00,0,71,False
2015-08-15 15:44:00,0,72,False
2015-08-15 15:52:00,0,74,False
2015-08-15 16:00:00,0,56,False
2015-08-15 16:08:00,0,51,False
2015-08-15 16:16:00,0,42,False
2015-08-15 16:24:00,0,42,False
2015-08-15 16:32:00,0,37,False
2015-08-15 16:40:00,0,38,False
2015-08-15 16:48:00,0,34,False
2015-08-15 16:56:00,0,34,False
2015-08-15 17:04:00,0,33,False
2015-08-15 17:12:00,0,31,False
2015-08-15 17:20:00,0,32,False
2015-08-15 17:28:00,0,30,False
2015-08-15 17:36:00,0,32,False
2015-08-15 17:44:00,0,29,False
2015-08-15 17:52:00,0,29,False
2015-08-15 18:00:00,0,28,False
2015-08-15 18:08:00,0,28,False
2015-08-15 18:16:00,0,28,False
2015-08-15 18:24:00,0,27,False
2015-08-15 18:32:00,0,30,False
2015-08-15 18:40:00,0,27,False
2015-08-15 18:48:00,0,27,False
2015-08-15 18:56:00,0,25,False
2015-08-22 13:04:00,0,44,False
2015-08-22 13:12:00,0,42,False
2015-08-22 13:20:00,0,40,False
2015-08-22 13:28:00,0,40,False
2015-08-22 13:36:00,0,71,False
2015-08-22 13:44:00,0,74,False
2015-08-22 13:52:00,0,87,False
2015-08-22 14:00:00,0,100,False
2015-08-22 14:08:00,0,86,False
2015-08-22 14:16:00,0,72,False
2015-08-22 14:24:00,0,74,False
2015-08-22 14:32:00,0,69,False
2015-08-22 14:40:00,0,67,False
2015-08-22 14:48:00,0,63,False
2015-08-22 14:56:00,0,59,False
2015-08-22 15:04:00,0,67,False
2015-08-22 15:12:00,0,70,False
2015-08-22 15:20:00,0,72,False
2015-08-22 15:28:00,0,78,False
2015-08-22 15:36:00,0,87,False
2015-08-22 15:44:00,0,76,False
2015-08-22 15:52:00,0,83,False
2015-08-22 16:00:00,0,60,False
2015-08-22 16:08:00,0,53,False
2015-08-22 16:16:00,0,50,False
2015-08-22 16:24:00,0,49,False
2015-08-22 16:32:00,0,43,False
2015-08-22 16:40:00,0,40,False
2015-08-22 16:48:00,0,39,False
2015-08-22 16:56:00,0,41,False
2015-08-22 17:04:00,0,33,False
2015-08-22 17:12:00,0,37,False
2015-08-22 17:20:00,0,33,False
2015-08-22 17:28:00,0,36,False
2015-08-22 17:36:00,0,33,False
2015-08-22 17:44:00,0,35,False
2015-08-22 17:52:00,0,32,False
2015-08-22 18:00:00,0,29,False
2015-08-22 18:08:00,0,29,False
2015-08-22 18:16:00,0,29,False
2015-08-22 18:24:00,0,34,False
2015-08-22 18:32:00,0,27,False
2015-08-22 18:40:00,0,28,False
2015-08-22 18:48:00,0,27,False
2015-08-22 18:56:00,0,29,False
2015-08-29 15:04:00,0,33,False
2015-08-29 15:12:00,0,35,False
2015-08-29 15:20:00,0,37,False
2015-08-29 15:28:00,0,41,False
2015-08-29 15:36:00,0,47,False
