date,Tottenham Hotspur Football Club,isPartial
2015-08-08 10:00:00,0,False
2015-08-08 10:08:00,0,False
2015-08-08 10:16:00,30,False
2015-08-08 10:24:00,30,False
2015-08-08 10:32:00,0,False
2015-08-08 10:40:00,29,False
2015-08-08 10:48:00,59,False
2015-08-08 10:56:00,0,False
2015-08-08 11:04:00,0,False
2015-08-08 11:12:00,28,False
2015-08-08 11:20:00,56,False
2015-08-08 11:28:00,0,False
2015-08-08 11:36:00,27,False
2015-08-08 11:44:00,27,False
2015-08-08 11:52:00,53,False
2015-08-08 12:00:00,26,False
2015-08-08 12:08:00,26,False
2015-08-08 12:16:00,26,False
2015-08-08 12:24:00,26,False
2015-08-08 12:32:00,25,False
2015-08-08 12:40:00,100,False
2015-08-08 12:48:00,50,False
2015-08-08 12:56:00,25,False
2015-08-08 13:04:00,0,False
2015-08-08 13:12:00,0,False
2015-08-08 13:20:00,0,False
2015-08-08 13:28:00,0,False
2015-08-08 13:36:00,24,False
2015-08-08 13:44:00,0,False
2015-08-08 13:52:00,0,False
2015-08-08 14:00:00,0,False
2015-08-08 14:08:00,47,False
2015-08-08 14:16:00,0,False
2015-08-08 14:24:00,0,False
2015-08-08 14:32:00,0,False
2015-08-08 14:40:00,0,False
2015-08-08 14:48:00,0,False
2015-08-08 14:56:00,0,False
2015-08-08 15:04:00,0,False
2015-08-08 15:12:00,23,False
2015-08-08 15:20:00,0,False
2015-08-08 15:28:00,46,False
2015-08-08 15:36:00,0,False
2015-08-08 15:44:00,0,False
2015-08-08 15:52:00,23,False
2015-08-08 16:00:00,0,False
2015-08-15 13:04:00,0,False
2015-08-15 13:12:00,0,False
2015-08-15 13:20:00,34,False
2015-08-15 13:28:00,0,False
2015-08-15 13:36:00,100,False
2015-08-15 13:44:00,0,False
2015-08-15 13:52:00,66,False
2015-08-15 14:00:00,33,False
2015-08-15 14:08:00,0,False
2015-08-15 14:16:00,97,False
2015-08-15 14:24:00,32,False
2015-08-15 14:32:00,0,False
2015-08-15 14:40:00,0,False
2015-08-15 14:48:00,32,False
2015-08-15 14:56:00,0,False
2015-08-15 15:04:00,96,False
2015-08-15 15:12:00,32,False
2015-08-15 15:20:00,32,False
2015-08-15 15:28:00,0,False
2015-08-15 15:36:00,0,False
2015-08-15 15:44:00,32,False
2015-08-15 15:52:00,32,False
2015-08-15 16:00:00,32,False
2015-08-15 16:08:00,0,False
2015-08-15 16:16:00,0,False
2015-08-15 16:24:00,0,False
2015-08-15 16:32:00,0,False
2015-08-15 16:40:00,0,False
2015-08-15 16:48:00,0,False
2015-08-15 16:56:00,33,False
2015-08-15 17:04:00,0,False
2015-08-15 17:12:00,0,False
2015-08-15 17:20:00,33,False
2015-08-15 17:28:00,0,False
2015-08-15 17:36:00,0,False
2015-08-15 17:44:00,34,False
2015-08-15 17:52:00,34,False
2015-08-15 18:00:00,0,False
2015-08-15 18:08:00,0,False
2015-08-15 18:16:00,35,False
2015-08-15 18:24:00,70,False
2015-08-15 18:32:00,70,False
2015-08-15 18:40:00,0,False
2015-08-15 18:48:00,0,False
2015-08-15 18:56:00,0,False
2015-08-22 13:04:00,100,False
2015-08-22 13:12:00,50,False
2015-08-22 13:20:00,49,False
2015-08-22 13:28:00,48,False
2015-08-22 13:36:00,0,False
2015-08-22 13:44:00,95,False
2015-08-22 13:52:00,0,False
2015-08-22 14:00:00,0,False
2015-08-22 14:08:00,47,False
2015-08-22 14:16:00,46,False
2015-08-22 14:24:00,46,False
2015-08-22 14:32:00,0,False
2015-08-22 14:40:00,46,False
2015-08-22 14:48:00,0,False
2015-08-22 14:56:00,0,False
2015-08-22 15:04:00,0,False
2015-08-22 15:12:00,46,False
2015-08-22 15:20:00,0,False
2015-08-22 15:28:00,0,False
2015-08-22 15:36:00,0,False
2015-08-22 15:44:00,46,False
2015-08-22 15:52:00,46,False
2015-08-22 16:00:00,46,False
2015-08-22 16:08:00,0,False
2015-08-22 16:16:00,47,False
2015-08-22 16:24:00,46,False
2015-08-22 16:32:00,0,False
2015-08-22 16:40:00,0,False
2015-08-22 16:48:00,0,False
2015-08-22 16:56:00,0,False
2015-08-22 17:04:00,0,False
2015-08-22 17:12:00,96,False
2015-08-22 17:20:00,48,False
2015-08-22 17:28:00,0,False
2015-08-22 17:36:00,0,False
2015-08-22 17:44:00,0,False
2015-08-22 17:52:00,0,False
2015-08-22 18:00:00,49,False
2015-08-22 18:08:00,0,False
2015-08-22 18:16:00,0,False
2015-08-22 18:24:00,50,False
2015-08-22 18:32:00,0,False
2015-08-22 18:40:00,51,False
2015-08-22 18:48:00,0,False
2015-08-22 18:56:00,0,False
2015-08-29 15:04:00,0,False
2015-08-29 15:12:00,0,False
2015-08-29 15:20:00,25,False
2015-08-29 15:28:00,49,False
2015-08-29 15:36:00,0,False
2015-08-29 15:44:00,0,False
2015-08-29 15:52:00,25,False
2015-08-29 16:00:00,25,False
2015-08-29 16:08:00,25,False
2015-08-29 16:16:00,0,False
2015-08-29 16:24:00,100,False
2015-08-29 16:32:00,0,False
2015-08-29 16:40:00,51,False
2015-08-29 16:48:00,0,False
2015-08-29 16:56:00,26,False
2015-08-29 17:04:00,0,False
2015-08-29 17:12:00,51,False
2015-08-29 17:20:00,51,False
2015-08-29 17:28:00,52,False
2015-08-29 17:36:00,26,False
2015-08-29 17:44:00,79,False
2015-08-29 17:52:00,53,False
2015-08-29 18:00:00,27,False
2015-08-29 18:08:00,53,False
2015-08-29 18:16:00,0,False
2015-08-29 18:24:00,27,False
2015-08-29 18:32:00,0,False
2015-08-29 18:40:00,0,False
2015-08-29 18:48:00,0,False
2015-08-29 18:56:00,27,False
2015-08-29 19:04:00,0,False
2015-08-29 19:12:00,28,False
2015-08-29 19:20:00,0,False
2015-08-29 19:28:00,0,False
2015-08-29 19:36:00,0,False
2015-08-29 19:44:00,28,False
2015-08-29 19:52:00,28,False
2015-08-29 20:00:00,0,False
2015-08-29 20:08:00,29,False
2015-08-29 20:16:00,0,False
2015-08-29 20:24:00,0,False
2015-08-29 20:32:00,0,False
2015-08-29 20:40:00,0,False
2015-08-29 20:48:00,0,False
2015-08-29 20:56:00,0,False
2015-09-13 11:04:00,0,False
2015-09-13 11:12:00,0,False
2015-09-13 11:20:00,57,False
2015-09-13 11:28:00,0,False
2015-09-13 11:36:00,0,False
2015-09-13 11:44:00,0,False
2015-09-13 11:52:00,0,False
2015-09-13 12:00:00,0,False
2015-09-13 12:08:00,0,False
2015-09-13 12:16:00,0,False
2015-09-13 12:24:00,0,False
2015-09-13 12:32:00,52,False
2015-09-13 12:40:00,0,False
2015-09-13 12:48:00,100,False
2015-09-13 12:56:00,49,False
2015-09-13 13:04:00,0,False
2015-09-13 13:12:00,0,False
2015-09-13 13:20:00,96,False
2015-09-13 13:28:00,48,False
2015-09-13 13:36:00,47,False
2015-09-13 13:44:00,0,False
2015-09-13 13:52:00,46,False
2015-09-13 14:00:00,0,False
2015-09-13 14:08:00,46,False
2015-09-13 14:16:00,45,False
2015-09-13 14:24:00,0,False
2015-09-13 14:32:00,45,False
2015-09-13 14:40:00,45,False
2015-09-13 14:48:00,45,False
2015-09-13 14:56:00,0,False
2015-09-13 15:04:00,44,False
2015-09-13 15:12:00,0,False
2015-09-13 15:20:00,0,False
2015-09-13 15:28:00,0,False
2015-09-13 15:36:00,0,False
2015-09-13 15:44:00,44,False
2015-09-13 15:52:00,0,False
2015-09-13 16:00:00,89,False
2015-09-13 16:08:00,0,False
2015-09-13 16:16:00,44,False
2015-09-13 16:24:00,0,False
2015-09-13 16:32:00,0,False
2015-09-13 16:40:00,0,False
2015-09-13 16:48:00,0,False
2015-09-13 16:56:00,0,False
2015-09-20 11:04:00,0,False
2015-09-20 11:12:00,0,False
2015-09-20 11:20:00,0,False
2015-09-20 11:28:00,0,False
2015-09-20 11:36:00,0,False
2015-09-20 11:44:00,48,False
2015-09-20 11:52:00,0,False
2015-09-20 12:00:00,0,False
2015-09-20 12:08:00,0,False
2015-09-20 12:16:00,0,False
2015-09-20 12:24:00,0,False
2015-09-20 12:32:00,23,False
2015-09-20 12:40:00,45,False
2015-09-20 12:48:00,22,False
2015-09-20 12:56:00,65,False
2015-09-20 13:04:00,0,False
2015-09-20 13:12:00,21,False
2015-09-20 13:20:00,0,False
2015-09-20 13:28:00,84,False
2015-09-20 13:36:00,21,False
2015-09-20 13:44:00,61,False
2015-09-20 13:52:00,0,False
2015-09-20 14:00:00,20,False
2015-09-20 14:08:00,100,False
2015-09-20 14:16:00,20,False
2015-09-20 14:24:00,40,False
2015-09-20 14:32:00,20,False
2015-09-20 14:40:00,0,False
2015-09-20 14:48:00,0,False
2015-09-20 14:56:00,39,False
2015-09-20 15:04:00,0,False
2015-09-20 15:12:00,0,False
2015-09-20 15:20:00,0,False
2015-09-20 15:28:00,0,False
2015-09-20 15:36:00,0,False
2015-09-20 15:44:00,19,False
2015-09-20 15:52:00,0,False
2015-09-20 16:00:00,0,False
2015-09-20 16:08:00,0,False
2015-09-20 16:16:00,0,False
2015-09-20 16:24:00,0,False
2015-09-20 16:32:00,0,False
2015-09-20 16:40:00,0,False
2015-09-20 16:48:00,19,False
2015-09-20 16:56:00,0,False
2015-09-26 10:00:00,0,False
2015-09-26 10:08:00,32,False
2015-09-26 10:16:00,0,False
2015-09-26 10:24:00,32,False
2015-09-26 10:32:00,32,False
2015-09-26 10:40:00,31,False
2015-09-26 10:48:00,31,False
2015-09-26 10:56:00,0,False
2015-09-26 11:04:00,0,False
2015-09-26 11:12:00,30,False
2015-09-26 11:20:00,58,False
2015-09-26 11:28:00,29,False
2015-09-26 11:36:00,0,False
2015-09-26 11:44:00,28,False
2015-09-26 11:52:00,0,False
2015-09-26 12:00:00,0,False
2015-09-26 12:08:00,0,False
2015-09-26 12:16:00,0,False
2015-09-26 12:24:00,80,False
2015-09-26 12:32:00,53,False
2015-09-26 12:40:00,26,False
2015-09-26 12:48:00,0,False
2015-09-26 12:56:00,26,False
2015-09-26 13:04:00,0,False
2015-09-26 13:12:00,50,False
2015-09-26 13:20:00,100,False
2015-09-26 13:28:00,49,False
2015-09-26 13:36:00,73,False
2015-09-26 13:44:00,0,False
2015-09-26 13:52:00,48,False
2015-09-26 14:00:00,24,False
2015-09-26 14:08:00,24,False
2015-09-26 14:16:00,0,False
2015-09-26 14:24:00,0,False
2015-09-26 14:32:00,24,False
2015-09-26 14:40:00,0,False
2015-09-26 14:48:00,0,False
2015-09-26 14:56:00,0,False
2015-09-26 15:04:00,23,False
2015-09-26 15:12:00,23,False
2015-09-26 15:20:00,0,False
2015-09-26 15:28:00,23,False
2015-09-26 15:36:00,0,False
2015-09-26 15:44:00,0,False
2015-09-26 15:52:00,0,False
2015-09-26 16:00:00,0,False
2015-10-04 14:00:00,0,False
2015-10-04 14:08:00,0,False
2015-10-04 14:16:00,0,False
2015-10-04 14:24:00,0,False
2015-10-04 14:32:00,0,False
2015-10-04 14:40:00,99,False
2015-10-04 14:48:00,49,False
2015-10-04 14:56:00,0,False
2015-10-04 15:04:00,0,False
2015-10-04 15:12:00,0,False
2015-10-04 15:20:00,48,False
2015-10-04 15:28:00,96,False
2015-10-04 15:36:00,48,False
2015-10-04 15:44:00,48,False
2015-10-04 15:52:00,0,False
2015-10-04 16:00:00,0,False
2015-10-04 16:08:00,48,False
2015-10-04 16:16:00,48,False
2015-10-04 16:24:00,0,False
2015-10-04 16:32:00,96,False
2015-10-04 16:40:00,0,False
2015-10-04 16:48:00,0,False
2015-10-04 16:56:00,48,False
