date,Leicester City Football Club,Leicester City,isPartial
2015-08-29 17:20:00,1,31,False
2015-08-29 17:28:00,1,34,False
2015-08-29 17:36:00,0,34,False
2015-08-29 17:44:00,0,29,False
2015-08-29 17:52:00,0,30,False
2015-08-29 18:00:00,1,32,False
2015-08-29 18:08:00,1,26,False
2015-08-29 18:16:00,0,27,False
2015-08-29 18:24:00,0,31,False
2015-08-29 18:32:00,1,22,False
2015-08-29 18:40:00,1,27,False
2015-08-29 18:48:00,0,28,False
2015-08-29 18:56:00,0,25,False
2015-09-13 14:00:00,0,14,False
2015-09-13 14:08:00,0,15,False
2015-09-13 14:16:00,0,16,False
2015-09-13 14:24:00,0,22,False
2015-09-13 14:32:00,0,25,False
2015-09-13 14:40:00,0,30,False
2015-09-13 14:48:00,0,32,False
2015-09-13 14:56:00,1,41,False
2015-09-13 15:04:00,0,41,False
2015-09-13 15:12:00,1,35,False
2015-09-13 15:20:00,0,34,False
2015-09-13 15:28:00,0,34,False
2015-09-13 15:36:00,1,32,False
2015-09-13 15:44:00,0,32,False
2015-09-13 15:52:00,0,24,False
2015-09-13 16:00:00,0,33,False
2015-09-13 16:08:00,0,41,False
2015-09-13 16:16:00,1,46,False
2015-09-13 16:24:00,0,45,False
2015-09-13 16:32:00,1,50,False
2015-09-13 16:40:00,1,71,False
2015-09-13 16:48:00,1,100,False
2015-09-13 16:56:00,1,96,False
2015-09-13 17:04:00,1,61,False
2015-09-13 17:12:00,1,48,False
2015-09-13 17:20:00,2,50,False
2015-09-13 17:28:00,0,34,False
2015-09-13 17:36:00,1,30,False
2015-09-13 17:44:00,1,29,False
2015-09-13 17:52:00,0,23,False
2015-09-13 18:00:00,1,22,False
2015-09-13 18:08:00,0,22,False
2015-09-13 18:16:00,0,20,False
2015-09-13 18:24:00,1,21,False
2015-09-13 18:32:00,0,18,False
2015-09-13 18:40:00,0,20,False
2015-09-13 18:48:00,0,19,False
2015-09-13 18:56:00,0,18,False
2015-09-13 19:04:00,0,18,False
2015-09-13 19:12:00,0,17,False
2015-09-13 19:20:00,1,18,False
2015-09-13 19:28:00,1,19,False
2015-09-13 19:36:00,0,16,False
2015-09-13 19:44:00,0,17,False
2015-09-13 19:52:00,0,16,False
2015-09-13 20:00:00,0,15,False
2015-09-19 13:04:00,1,26,False
2015-09-19 13:12:00,1,30,False
2015-09-19 13:20:00,0,29,False
2015-09-19 13:28:00,1,34,False
2015-09-19 13:36:00,1,40,False
2015-09-19 13:44:00,0,56,False
2015-09-19 13:52:00,0,64,False
2015-09-19 14:00:00,0,81,False
2015-09-19 14:08:00,0,82,False
2015-09-19 14:16:00,0,67,False
2015-09-19 14:24:00,0,63,False
2015-09-19 14:32:00,1,51,False
2015-09-19 14:40:00,1,58,False
2015-09-19 14:48:00,0,51,False
2015-09-19 14:56:00,0,60,False
2015-09-19 15:04:00,0,75,False
2015-09-19 15:12:00,0,77,False
2015-09-19 15:20:00,0,88,False
2015-09-19 15:28:00,0,100,False
2015-09-19 15:36:00,1,95,False
2015-09-19 15:44:00,1,81,False
2015-09-19 15:52:00,1,89,False
2015-09-19 16:00:00,0,70,False
2015-09-19 16:08:00,0,68,False
2015-09-19 16:16:00,1,58,False
2015-09-19 16:24:00,1,45,False
2015-09-19 16:32:00,0,46,False
2015-09-19 16:40:00,0,44,False
2015-09-19 16:48:00,0,41,False
2015-09-19 16:56:00,0,35,False
2015-09-19 17:04:00,1,40,False
2015-09-19 17:12:00,1,39,False
2015-09-19 17:20:00,1,37,False
2015-09-19 17:28:00,1,34,False
2015-09-19 17:36:00,0,27,False
2015-09-19 17:44:00,1,32,False
2015-09-19 17:52:00,0,34,False
2015-09-19 18:00:00,1,31,False
2015-09-19 18:08:00,1,33,False
2015-09-19 18:16:00,0,38,False
2015-09-19 18:24:00,1,50,False
2015-09-19 18:32:00,1,41,False
2015-09-19 18:40:00,0,37,False
2015-09-19 18:48:00,0,27,False
2015-09-19 18:56:00,0,28,False
2015-09-26 13:04:00,0,22,False
2015-09-26 13:12:00,0,25,False
2015-09-26 13:20:00,0,24,False
2015-09-26 13:28:00,0,28,False
2015-09-26 13:36:00,0,45,False
2015-09-26 13:44:00,0,56,False
2015-09-26 13:52:00,1,78,False
2015-09-26 14:00:00,0,100,False
2015-09-26 14:08:00,0,99,False
2015-09-26 14:16:00,1,98,False
2015-09-26 14:24:00,0,84,False
2015-09-26 14:32:00,0,81,False
2015-09-26 14:40:00,1,73,False
2015-09-26 14:48:00,0,60,False
2015-09-26 14:56:00,0,61,False
2015-09-26 15:04:00,1,69,False
2015-09-26 15:12:00,0,75,False
2015-09-26 15:20:00,1,67,False
2015-09-26 15:28:00,0,60,False
2015-09-26 15:36:00,0,63,False
2015-09-26 15:44:00,0,60,False
