date,West Ham Football Club,West Ham,isPartial
2015-08-09 11:04:00,0,20,False
2015-08-09 11:12:00,0,21,False
2015-08-09 11:20:00,0,24,False
2015-08-09 11:28:00,0,28,False
2015-08-09 11:36:00,0,32,False
2015-08-09 11:44:00,0,33,False
2015-08-09 11:52:00,0,35,False
2015-08-09 12:00:00,0,43,False
2015-08-09 12:08:00,0,44,False
2015-08-09 12:16:00,0,61,False
2015-08-09 12:24:00,0,88,False
2015-08-09 12:32:00,0,96,False
2015-08-09 12:40:00,0,82,False
2015-08-09 12:48:00,0,68,False
2015-08-09 12:56:00,0,67,False
2015-08-09 13:04:00,0,71,False
2015-08-09 13:12:00,0,80,False
2015-08-09 13:20:00,0,64,False
2015-08-09 13:28:00,0,72,False
2015-08-09 13:36:00,0,75,False
2015-08-09 13:44:00,0,100,False
2015-08-09 13:52:00,0,91,False
2015-08-09 14:00:00,0,85,False
2015-08-09 14:08:00,0,85,False
2015-08-09 14:16:00,0,78,False
2015-08-09 14:24:00,0,84,False
2015-08-09 14:32:00,0,62,False
2015-08-09 14:40:00,0,49,False
2015-08-09 14:48:00,0,46,False
2015-08-09 14:56:00,0,38,False
2015-08-09 15:04:00,0,35,False
2015-08-09 15:12:00,0,33,False
2015-08-09 15:20:00,0,30,False
2015-08-09 15:28:00,0,28,False
2015-08-09 15:36:00,0,27,False
2015-08-09 15:44:00,0,27,False
2015-08-09 15:52:00,0,26,False
2015-08-09 16:00:00,0,24,False
2015-08-09 16:08:00,0,21,False
2015-08-09 16:16:00,0,20,False
2015-08-09 16:24:00,0,21,False
2015-08-09 16:32:00,0,20,False
2015-08-09 16:40:00,0,20,False
2015-08-09 16:48:00,0,21,False
2015-08-09 16:56:00,0,20,False
2015-08-15 13:04:00,0,43,False
2015-08-15 13:12:00,0,40,False
2015-08-15 13:20:00,0,40,False
2015-08-15 13:28:00,0,44,False
2015-08-15 13:36:00,0,54,False
2015-08-15 13:44:00,0,58,False
2015-08-15 13:52:00,0,76,False
2015-08-15 14:00:00,0,100,False
2015-08-15 14:08:00,0,78,False
2015-08-15 14:16:00,0,74,False
2015-08-15 14:24:00,0,72,False
2015-08-15 14:32:00,0,72,False
2015-08-15 14:40:00,0,66,False
2015-08-15 14:48:00,0,66,False
2015-08-15 14:56:00,0,63,False
2015-08-15 15:04:00,0,65,False
2015-08-15 15:12:00,0,81,False
2015-08-15 15:20:00,0,80,False
