date,Everton Football Club,Everton,isPartial
2015-08-29 16:16:00,0,73,False
2015-08-29 16:24:00,0,92,False
2015-08-29 16:32:00,0,100,False
2015-08-29 16:40:00,0,82,False
2015-08-29 16:48:00,0,84,False
2015-08-29 16:56:00,0,81,False
2015-08-29 17:04:00,0,80,False
2015-08-29 17:12:00,0,79,False
2015-08-29 17:20:00,0,73,False
2015-08-29 17:28:00,0,69,False
2015-08-29 17:36:00,0,77,False
2015-08-29 17:44:00,0,84,False
2015-08-29 17:52:00,0,90,False
2015-08-29 18:00:00,0,85,False
2015-08-29 18:08:00,0,94,False
2015-08-29 18:16:00,0,84,False
2015-08-29 18:24:00,0,91,False
2015-08-29 18:32:00,0,65,False
2015-08-29 18:40:00,0,61,False
2015-08-29 18:48:00,0,47,False
2015-08-29 18:56:00,0,51,False
2015-08-29 19:04:00,0,38,False
2015-08-29 19:12:00,0,37,False
2015-08-29 19:20:00,0,38,False
2015-08-29 19:28:00,0,35,False
2015-08-29 19:36:00,0,41,False
2015-08-29 19:44:00,0,32,False
2015-08-29 19:52:00,0,30,False
2015-08-29 20:00:00,0,35,False
2015-08-29 20:08:00,0,29,False
2015-08-29 20:16:00,0,30,False
2015-08-29 20:24:00,0,32,False
2015-08-29 20:32:00,0,33,False
2015-08-29 20:40:00,0,28,False
2015-08-29 20:48:00,0,27,False
2015-08-29 20:56:00,0,27,False
2015-09-12 10:00:00,0,12,False
2015-09-12 10:08:00,0,13,False
2015-09-12 10:16:00,0,13,False
2015-09-12 10:24:00,0,15,False
2015-09-12 10:32:00,0,16,False
2015-09-12 10:40:00,0,19,False
2015-09-12 10:48:00,0,20,False
2015-09-12 10:56:00,0,23,False
2015-09-12 11:04:00,0,25,False
2015-09-12 11:12:00,0,31,False
2015-09-12 11:20:00,0,32,False
2015-09-12 11:28:00,0,43,False
2015-09-12 11:36:00,0,56,False
2015-09-12 11:44:00,0,81,False
2015-09-12 11:52:00,0,79,False
2015-09-12 12:00:00,0,85,False
2015-09-12 12:08:00,0,100,False
2015-09-12 12:16:00,0,92,False
2015-09-12 12:24:00,0,79,False
2015-09-12 12:32:00,0,72,False
2015-09-12 12:40:00,0,64,False
2015-09-12 12:48:00,0,74,False
2015-09-12 12:56:00,0,76,False
2015-09-12 13:04:00,0,77,False
2015-09-12 13:12:00,0,84,False
2015-09-12 13:20:00,0,89,False
2015-09-12 13:28:00,0,94,False
2015-09-12 13:36:00,0,77,False
2015-09-12 13:44:00,0,64,False
2015-09-12 13:52:00,0,50,False
2015-09-12 14:00:00,0,43,False
2015-09-12 14:08:00,0,38,False
2015-09-12 14:16:00,0,33,False
2015-09-12 14:24:00,0,29,False
2015-09-12 14:32:00,0,28,False
2015-09-12 14:40:00,0,26,False
2015-09-12 14:48:00,0,25,False
2015-09-12 14:56:00,0,23,False
2015-09-12 15:04:00,0,19,False
2015-09-12 15:12:00,0,19,False
2015-09-12 15:20:00,0,18,False
2015-09-12 15:28:00,0,17,False
2015-09-12 15:36:00,0,16,False
2015-09-12 15:44:00,0,15,False
2015-09-12 15:52:00,0,17,False
2015-09-12 16:00:00,0,16,False
2015-09-19 13:04:00,0,39,False
2015-09-19 13:12:00,1,41,False
2015-09-19 13:20:00,0,38,False
2015-09-19 13:28:00,0,45,False
2015-09-19 13:36:00,0,57,False
2015-09-19 13:44:00,0,84,False
2015-09-19 13:52:00,0,90,False
2015-09-19 14:00:00,1,100,False
2015-09-19 14:08:00,0,85,False
2015-09-19 14:16:00,0,80,False
2015-09-19 14:24:00,0,84,False
2015-09-19 14:32:00,0,77,False
2015-09-19 14:40:00,0,68,False
2015-09-19 14:48:00,0,70,False
2015-09-19 14:56:00,1,66,False
2015-09-19 15:04:00,0,77,False
2015-09-19 15:12:00,1,86,False
2015-09-19 15:20:00,0,91,False
2015-09-19 15:28:00,0,83,False
2015-09-19 15:36:00,0,76,False
2015-09-19 15:44:00,0,77,False
2015-09-19 15:52:00,0,90,False
2015-09-19 16:00:00,0,68,False
2015-09-19 16:08:00,0,55,False
2015-09-19 16:16:00,0,48,False
2015-09-19 16:24:00,0,44,False
2015-09-19 16:32:00,0,44,False
2015-09-19 16:40:00,0,40,False
2015-09-19 16:48:00,0,36,False
2015-09-19 16:56:00,0,35,False
2015-09-19 17:04:00,0,32,False
2015-09-19 17:12:00,0,31,False
2015-09-19 17:20:00,0,32,False
2015-09-19 17:28:00,0,25,False
2015-09-19 17:36:00,0,26,False
2015-09-19 17:44:00,0,30,False
2015-09-19 17:52:00,0,29,False
2015-09-19 18:00:00,0,28,False
2015-09-19 18:08:00,0,26,False
2015-09-19 18:16:00,0,27,False
2015-09-19 18:24:00,0,26,False
2015-09-19 18:32:00,0,28,False
2015-09-19 18:40:00,0,26,False
2015-09-19 18:48:00,0,27,False
2015-09-19 18:56:00,0,24,False
