date,Sunderland Football Club,Sunderland,isPartial
2015-08-08 13:04:00,0,30,False
2015-08-08 13:12:00,0,30,False
2015-08-08 13:20:00,0,31,False
2015-08-08 13:28:00,0,34,False
2015-08-08 13:36:00,0,46,False
2015-08-08 13:44:00,0,50,False
2015-08-08 13:52:00,0,61,False
2015-08-08 14:00:00,0,72,False
2015-08-08 14:08:00,0,66,False
2015-08-08 14:16:00,0,74,False
2015-08-08 14:24:00,0,100,False
2015-08-08 14:32:00,0,74,False
2015-08-08 14:40:00,0,57,False
2015-08-08 14:48:00,0,62,False
2015-08-08 14:56:00,0,59,False
2015-08-08 15:04:00,0,51,False
2015-08-08 15:12:00,0,55,False
2015-08-08 15:20:00,1,56,False
2015-08-08 15:28:00,0,53,False
2015-08-08 15:36:00,0,51,False
2015-08-08 15:44:00,0,48,False
2015-08-08 15:52:00,0,49,False
2015-08-08 16:00:00,0,44,False
2015-08-08 16:08:00,0,41,False
2015-08-08 16:16:00,0,39,False
2015-08-08 16:24:00,0,33,False
2015-08-08 16:32:00,0,36,False
2015-08-08 16:40:00,0,35,False
2015-08-08 16:48:00,0,32,False
2015-08-08 16:56:00,0,31,False
2015-08-08 17:04:00,0,35,False
2015-08-08 17:12:00,0,30,False
2015-08-08 17:20:00,0,28,False
2015-08-08 17:28:00,0,31,False
2015-08-08 17:36:00,0,26,False
2015-08-08 17:44:00,0,31,False
2015-08-08 17:52:00,0,27,False
2015-08-08 18:00:00,0,30,False
2015-08-08 18:08:00,0,27,False
2015-08-08 18:16:00,0,27,False
2015-08-08 18:24:00,0,32,False
2015-08-08 18:32:00,0,30,False
2015-08-08 18:40:00,0,25,False
2015-08-08 18:48:00,0,28,False
2015-08-08 18:56:00,0,28,False
2015-08-15 13:04:00,0,52,False
2015-08-15 13:12:00,0,46,False
2015-08-15 13:20:00,0,48,False
2015-08-15 13:28:00,0,54,False
2015-08-15 13:36:00,0,61,False
2015-08-15 13:44:00,0,61,False
2015-08-15 13:52:00,0,81,False
2015-08-15 14:00:00,1,90,False
2015-08-15 14:08:00,0,84,False
2015-08-15 14:16:00,0,74,False
2015-08-15 14:24:00,0,74,False
2015-08-15 14:32:00,0,86,False
2015-08-15 14:40:00,0,86,False
2015-08-15 14:48:00,0,79,False
2015-08-15 14:56:00,0,80,False
2015-08-15 15:04:00,1,79,False
2015-08-15 15:12:00,0,100,False
2015-08-15 15:20:00,0,92,False
2015-08-15 15:28:00,0,84,False
2015-08-15 15:36:00,0,83,False
2015-08-15 15:44:00,0,93,False
2015-08-15 15:52:00,0,93,False
2015-08-15 16:00:00,0,76,False
2015-08-15 16:08:00,1,83,False
2015-08-15 16:16:00,0,72,False
2015-08-15 16:24:00,0,60,False
2015-08-15 16:32:00,0,62,False
2015-08-15 16:40:00,0,57,False
2015-08-15 16:48:00,0,54,False
2015-08-15 16:56:00,0,51,False
2015-08-15 17:04:00,0,52,False
2015-08-15 17:12:00,0,55,False
2015-08-15 17:20:00,0,44,False
2015-08-15 17:28:00,0,46,False
2015-08-15 17:36:00,0,50,False
2015-08-15 17:44:00,0,53,False
2015-08-15 17:52:00,0,45,False
2015-08-15 18:00:00,0,44,False
2015-08-15 18:08:00,0,46,False
2015-08-15 18:16:00,0,43,False
2015-08-15 18:24:00,0,41,False
2015-08-15 18:32:00,0,49,False
2015-08-15 18:40:00,0,47,False
2015-08-15 18:48:00,0,42,False
2015-08-15 18:56:00,0,45,False
2015-08-22 13:04:00,0,50,False
2015-08-22 13:12:00,0,51,False
2015-08-22 13:20:00,0,52,False
2015-08-22 13:28:00,0,50,False
2015-08-22 13:36:00,0,78,False
2015-08-22 13:44:00,0,83,False
2015-08-22 13:52:00,0,83,False
2015-08-22 14:00:00,0,100,False
2015-08-22 14:08:00,0,91,False
