date,Sunderland Football Club,isPartial
2015-08-08 13:04:00,36,False
2015-08-08 13:12:00,18,False
2015-08-08 13:20:00,0,False
2015-08-08 13:28:00,0,False
2015-08-08 13:36:00,17,False
2015-08-08 13:44:00,34,False
2015-08-08 13:52:00,34,False
2015-08-08 14:00:00,51,False
2015-08-08 14:08:00,51,False
2015-08-08 14:16:00,67,False
2015-08-08 14:24:00,17,False
2015-08-08 14:32:00,67,False
2015-08-08 14:40:00,67,False
2015-08-08 14:48:00,83,False
2015-08-08 14:56:00,17,False
2015-08-08 15:04:00,33,False
2015-08-08 15:12:00,50,False
2015-08-08 15:20:00,100,False
2015-08-08 15:28:00,33,False
2015-08-08 15:36:00,17,False
2015-08-08 15:44:00,0,False
2015-08-08 15:52:00,0,False
2015-08-08 16:00:00,51,False
2015-08-08 16:08:00,34,False
2015-08-08 16:16:00,17,False
2015-08-08 16:24:00,34,False
2015-08-08 16:32:00,17,False
2015-08-08 16:40:00,34,False
2015-08-08 16:48:00,17,False
2015-08-08 16:56:00,17,False
2015-08-08 17:04:00,17,False
2015-08-08 17:12:00,0,False
2015-08-08 17:20:00,35,False
2015-08-08 17:28:00,0,False
2015-08-08 17:36:00,18,False
2015-08-08 17:44:00,36,False
2015-08-08 17:52:00,18,False
2015-08-08 18:00:00,0,False
2015-08-08 18:08:00,18,False
2015-08-08 18:16:00,0,False
2015-08-08 18:24:00,18,False
2015-08-08 18:32:00,18,False
2015-08-08 18:40:00,19,False
2015-08-08 18:48:00,56,False
2015-08-08 18:56:00,0,False
2015-08-15 13:04:00,0,False
2015-08-15 13:12:00,0,False
2015-08-15 13:20:00,0,False
2015-08-15 13:28:00,26,False
2015-08-15 13:36:00,0,False
2015-08-15 13:44:00,0,False
2015-08-15 13:52:00,25,False
2015-08-15 14:00:00,100,False
2015-08-15 14:08:00,25,False
2015-08-15 14:16:00,49,False
2015-08-15 14:24:00,73,False
2015-08-15 14:32:00,49,False
2015-08-15 14:40:00,24,False
2015-08-15 14:48:00,24,False
2015-08-15 14:56:00,49,False
2015-08-15 15:04:00,97,False
2015-08-15 15:12:00,48,False
2015-08-15 15:20:00,0,False
2015-08-15 15:28:00,24,False
2015-08-15 15:36:00,24,False
2015-08-15 15:44:00,73,False
2015-08-15 15:52:00,49,False
2015-08-15 16:00:00,73,False
2015-08-15 16:08:00,98,False
2015-08-15 16:16:00,49,False
2015-08-15 16:24:00,50,False
2015-08-15 16:32:00,25,False
2015-08-15 16:40:00,0,False
2015-08-15 16:48:00,50,False
2015-08-15 16:56:00,0,False
2015-08-15 17:04:00,25,False
2015-08-15 17:12:00,25,False
2015-08-15 17:20:00,51,False
2015-08-15 17:28:00,26,False
2015-08-15 17:36:00,52,False
2015-08-15 17:44:00,26,False
2015-08-15 17:52:00,0,False
2015-08-15 18:00:00,0,False
2015-08-15 18:08:00,26,False
2015-08-15 18:16:00,0,False
2015-08-15 18:24:00,0,False
2015-08-15 18:32:00,54,False
2015-08-15 18:40:00,27,False
2015-08-15 18:48:00,27,False
2015-08-15 18:56:00,0,False
2015-08-22 13:04:00,34,False
2015-08-22 13:12:00,68,False
2015-08-22 13:20:00,0,False
