date,Leicester City Football Club,isPartial
2015-08-29 16:48:00,34,False
2015-08-29 16:56:00,11,False
2015-08-29 17:04:00,45,False
2015-08-29 17:12:00,0,False
2015-08-29 17:20:00,23,False
2015-08-29 17:28:00,23,False
2015-08-29 17:36:00,12,False
2015-08-29 17:44:00,12,False
2015-08-29 17:52:00,0,False
2015-08-29 18:00:00,23,False
2015-08-29 18:08:00,24,False
2015-08-29 18:16:00,0,False
2015-08-29 18:24:00,12,False
2015-08-29 18:32:00,24,False
2015-08-29 18:40:00,36,False
2015-08-29 18:48:00,0,False
2015-08-29 18:56:00,12,False
2015-09-13 14:00:00,5,False
2015-09-13 14:08:00,5,False
2015-09-13 14:16:00,16,False
2015-09-13 14:24:00,11,False
2015-09-13 14:32:00,5,False
2015-09-13 14:40:00,16,False
2015-09-13 14:48:00,5,False
2015-09-13 14:56:00,31,False
2015-09-13 15:04:00,26,False
2015-09-13 15:12:00,31,False
2015-09-13 15:20:00,26,False
2015-09-13 15:28:00,26,False
2015-09-13 15:36:00,31,False
2015-09-13 15:44:00,26,False
2015-09-13 15:52:00,21,False
2015-09-13 16:00:00,21,False
2015-09-13 16:08:00,26,False
2015-09-13 16:16:00,52,False
2015-09-13 16:24:00,26,False
2015-09-13 16:32:00,31,False
2015-09-13 16:40:00,58,False
2015-09-13 16:48:00,78,False
2015-09-13 16:56:00,47,False
2015-09-13 17:04:00,47,False
2015-09-13 17:12:00,31,False
2015-09-13 17:20:00,100,False
2015-09-13 17:28:00,11,False
2015-09-13 17:36:00,32,False
2015-09-13 17:44:00,32,False
2015-09-13 17:52:00,5,False
2015-09-13 18:00:00,37,False
2015-09-13 18:08:00,11,False
2015-09-13 18:16:00,11,False
2015-09-13 18:24:00,32,False
2015-09-13 18:32:00,22,False
2015-09-13 18:40:00,5,False
2015-09-13 18:48:00,27,False
2015-09-13 18:56:00,22,False
2015-09-13 19:04:00,17,False
2015-09-13 19:12:00,11,False
2015-09-13 19:20:00,39,False
2015-09-13 19:28:00,39,False
2015-09-13 19:36:00,11,False
2015-09-13 19:44:00,6,False
2015-09-13 19:52:00,17,False
2015-09-13 20:00:00,18,False
2015-09-19 13:04:00,42,False
2015-09-19 13:12:00,83,False
2015-09-19 13:20:00,0,False
2015-09-19 13:28:00,41,False
2015-09-19 13:36:00,40,False
2015-09-19 13:44:00,20,False
2015-09-19 13:52:00,39,False
2015-09-19 14:00:00,0,False
2015-09-19 14:08:00,39,False
2015-09-19 14:16:00,39,False
2015-09-19 14:24:00,0,False
2015-09-19 14:32:00,58,False
2015-09-19 14:40:00,58,False
2015-09-19 14:48:00,39,False
2015-09-19 14:56:00,19,False
2015-09-19 15:04:00,19,False
2015-09-19 15:12:00,19,False
2015-09-19 15:20:00,39,False
2015-09-19 15:28:00,39,False
2015-09-19 15:36:00,78,False
2015-09-19 15:44:00,77,False
2015-09-19 15:52:00,58,False
2015-09-19 16:00:00,39,False
2015-09-19 16:08:00,0,False
2015-09-19 16:16:00,98,False
2015-09-19 16:24:00,78,False
2015-09-19 16:32:00,20,False
2015-09-19 16:40:00,0,False
