date,Crystal Palace Football Club,isPartial
2015-08-08 13:04:00,0,False
2015-08-08 13:12:00,21,False
2015-08-08 13:20:00,21,False
2015-08-08 13:28:00,0,False
2015-08-08 13:36:00,21,False
2015-08-08 13:44:00,21,False
2015-08-08 13:52:00,0,False
2015-08-08 14:00:00,20,False
2015-08-08 14:08:00,61,False
2015-08-08 14:16:00,20,False
2015-08-08 14:24:00,0,False
2015-08-08 14:32:00,20,False
2015-08-08 14:40:00,20,False
2015-08-08 14:48:00,0,False
2015-08-08 14:56:00,20,False
2015-08-08 15:04:00,40,False
2015-08-08 15:12:00,0,False
2015-08-08 15:20:00,40,False
2015-08-08 15:28:00,100,False
2015-08-08 15:36:00,40,False
2015-08-08 15:44:00,20,False
2015-08-08 15:52:00,100,False
2015-08-08 16:00:00,40,False
2015-08-08 16:08:00,40,False
2015-08-08 16:16:00,0,False
2015-08-08 16:24:00,20,False
2015-08-08 16:32:00,0,False
2015-08-08 16:40:00,21,False
2015-08-08 16:48:00,21,False
2015-08-08 16:56:00,42,False
2015-08-08 17:04:00,21,False
2015-08-08 17:12:00,42,False
2015-08-08 17:20:00,21,False
2015-08-08 17:28:00,0,False
2015-08-08 17:36:00,43,False
2015-08-08 17:44:00,0,False
2015-08-08 17:52:00,22,False
2015-08-08 18:00:00,22,False
2015-08-08 18:08:00,22,False
2015-08-08 18:16:00,22,False
2015-08-08 18:24:00,0,False
2015-08-08 18:32:00,44,False
2015-08-08 18:40:00,0,False
2015-08-08 18:48:00,45,False
2015-08-08 18:56:00,0,False
2015-08-16 11:04:00,46,False
2015-08-16 11:12:00,11,False
2015-08-16 11:20:00,33,False
2015-08-16 11:28:00,11,False
2015-08-16 11:36:00,11,False
2015-08-16 11:44:00,11,False
2015-08-16 11:52:00,11,False
2015-08-16 12:00:00,11,False
2015-08-16 12:08:00,52,False
2015-08-16 12:16:00,31,False
2015-08-16 12:24:00,72,False
2015-08-16 12:32:00,71,False
2015-08-16 12:40:00,100,False
2015-08-16 12:48:00,98,False
2015-08-16 12:56:00,69,False
2015-08-16 13:04:00,68,False
2015-08-16 13:12:00,38,False
2015-08-16 13:20:00,19,False
2015-08-16 13:28:00,56,False
2015-08-16 13:36:00,47,False
2015-08-16 13:44:00,92,False
2015-08-16 13:52:00,64,False
2015-08-16 14:00:00,46,False
2015-08-16 14:08:00,64,False
2015-08-16 14:16:00,63,False
2015-08-16 14:24:00,0,False
2015-08-16 14:32:00,45,False
2015-08-16 14:40:00,18,False
2015-08-16 14:48:00,0,False
2015-08-16 14:56:00,27,False
2015-08-16 15:04:00,0,False
2015-08-16 15:12:00,18,False
2015-08-16 15:20:00,27,False
2015-08-16 15:28:00,18,False
2015-08-16 15:36:00,18,False
2015-08-16 15:44:00,18,False
2015-08-16 15:52:00,9,False
2015-08-16 16:00:00,9,False
2015-08-16 16:08:00,0,False
2015-08-16 16:16:00,0,False
2015-08-16 16:24:00,18,False
2015-08-16 16:32:00,18,False
2015-08-16 16:40:00,0,False
2015-08-16 16:48:00,9,False
2015-08-16 16:56:00,9,False
2015-08-22 13:04:00,26,False
2015-08-22 13:12:00,51,False
2015-08-22 13:20:00,25,False
2015-08-22 13:28:00,100,False
2015-08-22 13:36:00,0,False
2015-08-22 13:44:00,0,False
2015-08-22 13:52:00,0,False
2015-08-22 14:00:00,49,False
2015-08-22 14:08:00,0,False
2015-08-22 14:16:00,24,False
2015-08-22 14:24:00,0,False
2015-08-22 14:32:00,24,False
2015-08-22 14:40:00,0,False
2015-08-22 14:48:00,0,False
2015-08-22 14:56:00,0,False
2015-08-22 15:04:00,24,False
2015-08-22 15:12:00,47,False
2015-08-22 15:20:00,0,False
2015-08-22 15:28:00,47,False
2015-08-22 15:36:00,72,False
2015-08-22 15:44:00,0,False
2015-08-22 15:52:00,47,False
2015-08-22 16:00:00,0,False
2015-08-22 16:08:00,24,False
2015-08-22 16:16:00,24,False
2015-08-22 16:24:00,24,False
2015-08-22 16:32:00,0,False
2015-08-22 16:40:00,0,False
2015-08-22 16:48:00,0,False
2015-08-22 16:56:00,24,False
2015-08-22 17:04:00,74,False
2015-08-22 17:12:00,0,False
2015-08-22 17:20:00,0,False
2015-08-22 17:28:00,0,False
2015-08-22 17:36:00,0,False
2015-08-22 17:44:00,0,False
2015-08-22 17:52:00,25,False
2015-08-22 18:00:00,0,False
2015-08-22 18:08:00,26,False
2015-08-22 18:16:00,52,False
2015-08-22 18:24:00,0,False
2015-08-22 18:32:00,0,False
2015-08-22 18:40:00,52,False
2015-08-22 18:48:00,0,False
2015-08-22 18:56:00,0,False
2015-08-29 13:04:00,12,False
2015-08-29 13:12:00,0,False
2015-08-29 13:20:00,0,False
2015-08-29 13:28:00,0,False
2015-08-29 13:36:00,34,False
2015-08-29 13:44:00,34,False
2015-08-29 13:52:00,34,False
2015-08-29 14:00:00,56,False
2015-08-29 14:08:00,22,False
2015-08-29 14:16:00,33,False
2015-08-29 14:24:00,22,False
2015-08-29 14:32:00,11,False
2015-08-29 14:40:00,11,False
2015-08-29 14:48:00,33,False
2015-08-29 14:56:00,11,False
2015-08-29 15:04:00,66,False
2015-08-29 15:12:00,11,False
2015-08-29 15:20:00,44,False
2015-08-29 15:28:00,77,False
2015-08-29 15:36:00,89,False
2015-08-29 15:44:00,100,False
2015-08-29 15:52:00,99,False
2015-08-29 16:00:00,44,False
2015-08-29 16:08:00,22,False
2015-08-29 16:16:00,44,False
2015-08-29 16:24:00,33,False
2015-08-29 16:32:00,79,False
2015-08-29 16:40:00,11,False
2015-08-29 16:48:00,23,False
2015-08-29 16:56:00,34,False
2015-08-29 17:04:00,11,False
2015-08-29 17:12:00,11,False
2015-08-29 17:20:00,23,False
2015-08-29 17:28:00,35,False
2015-08-29 17:36:00,12,False
2015-08-29 17:44:00,23,False
2015-08-29 17:52:00,23,False
2015-08-29 18:00:00,24,False
2015-08-29 18:08:00,36,False
2015-08-29 18:16:00,48,False
2015-08-29 18:24:00,12,False
2015-08-29 18:32:00,12,False
2015-08-29 18:40:00,0,False
2015-08-29 18:48:00,12,False
2015-08-29 18:56:00,37,False
2015-09-12 13:04:00,21,False
2015-09-12 13:12:00,21,False
2015-09-12 13:20:00,0,False
2015-09-12 13:28:00,62,False
2015-09-12 13:36:00,61,False
2015-09-12 13:44:00,81,False
2015-09-12 13:52:00,40,False
2015-09-12 14:00:00,100,False
2015-09-12 14:08:00,40,False
2015-09-12 14:16:00,59,False
2015-09-12 14:24:00,59,False
2015-09-12 14:32:00,20,False
2015-09-12 14:40:00,59,False
2015-09-12 14:48:00,58,False
2015-09-12 14:56:00,0,False
2015-09-12 15:04:00,20,False
2015-09-12 15:12:00,39,False
2015-09-12 15:20:00,59,False
2015-09-12 15:28:00,59,False
2015-09-12 15:36:00,78,False
2015-09-12 15:44:00,0,False
2015-09-12 15:52:00,39,False
2015-09-12 16:00:00,78,False
2015-09-12 16:08:00,19,False
2015-09-12 16:16:00,0,False
2015-09-12 16:24:00,20,False
2015-09-12 16:32:00,59,False
2015-09-12 16:40:00,0,False
2015-09-12 16:48:00,0,False
2015-09-12 16:56:00,20,False
2015-09-12 17:04:00,0,False
2015-09-12 17:12:00,20,False
2015-09-12 17:20:00,60,False
2015-09-12 17:28:00,20,False
2015-09-12 17:36:00,20,False
2015-09-12 17:44:00,0,False
2015-09-12 17:52:00,21,False
2015-09-12 18:00:00,41,False
2015-09-12 18:08:00,0,False
2015-09-12 18:16:00,0,False
2015-09-12 18:24:00,0,False
2015-09-12 18:32:00,0,False
2015-09-12 18:40:00,0,False
2015-09-12 18:48:00,43,False
2015-09-12 18:56:00,43,False
2015-09-20 11:04:00,0,False
2015-09-20 11:12:00,23,False
2015-09-20 11:20:00,0,False
2015-09-20 11:28:00,0,False
2015-09-20 11:36:00,22,False
2015-09-20 11:44:00,0,False
2015-09-20 11:52:00,22,False
2015-09-20 12:00:00,0,False
2015-09-20 12:08:00,0,False
2015-09-20 12:16:00,21,False
2015-09-20 12:24:00,0,False
2015-09-20 12:32:00,42,False
2015-09-20 12:40:00,82,False
2015-09-20 12:48:00,20,False
2015-09-20 12:56:00,40,False
2015-09-20 13:04:00,100,False
2015-09-20 13:12:00,59,False
2015-09-20 13:20:00,19,False
2015-09-20 13:28:00,77,False
2015-09-20 13:36:00,19,False
2015-09-20 13:44:00,19,False
2015-09-20 13:52:00,0,False
2015-09-20 14:00:00,0,False
2015-09-20 14:08:00,37,False
2015-09-20 14:16:00,18,False
2015-09-20 14:24:00,55,False
2015-09-20 14:32:00,0,False
2015-09-20 14:40:00,0,False
2015-09-20 14:48:00,0,False
2015-09-20 14:56:00,0,False
2015-09-20 15:04:00,18,False
2015-09-20 15:12:00,18,False
2015-09-20 15:20:00,18,False
2015-09-20 15:28:00,0,False
2015-09-20 15:36:00,0,False
2015-09-20 15:44:00,0,False
2015-09-20 15:52:00,0,False
2015-09-20 16:00:00,18,False
2015-09-20 16:08:00,0,False
2015-09-20 16:16:00,0,False
2015-09-20 16:24:00,54,False
2015-09-20 16:32:00,0,False
2015-09-20 16:40:00,0,False
2015-09-20 16:48:00,0,False
2015-09-20 16:56:00,18,False
2015-09-27 14:00:00,0,False
2015-09-27 14:08:00,0,False
2015-09-27 14:16:00,0,False
2015-09-27 14:24:00,0,False
2015-09-27 14:32:00,52,False
2015-09-27 14:40:00,26,False
2015-09-27 14:48:00,26,False
2015-09-27 14:56:00,51,False
2015-09-27 15:04:00,51,False
2015-09-27 15:12:00,0,False
2015-09-27 15:20:00,76,False
2015-09-27 15:28:00,0,False
2015-09-27 15:36:00,0,False
2015-09-27 15:44:00,0,False
2015-09-27 15:52:00,25,False
2015-09-27 16:00:00,100,False
2015-09-27 16:08:00,50,False
2015-09-27 16:16:00,50,False
2015-09-27 16:24:00,99,False
2015-09-27 16:32:00,50,False
2015-09-27 16:40:00,74,False
2015-09-27 16:48:00,99,False
2015-09-27 16:56:00,99,False
2015-09-27 17:04:00,0,False
2015-09-27 17:12:00,100,False
2015-09-27 17:20:00,0,False
2015-09-27 17:28:00,0,False
2015-09-27 17:36:00,75,False
2015-09-27 17:44:00,25,False
2015-09-27 17:52:00,0,False
2015-09-27 18:00:00,0,False
2015-09-27 18:08:00,0,False
2015-09-27 18:16:00,25,False
2015-09-27 18:24:00,25,False
2015-09-27 18:32:00,26,False
2015-09-27 18:40:00,25,False
2015-09-27 18:48:00,51,False
2015-09-27 18:56:00,52,False
2015-09-27 19:04:00,0,False
2015-09-27 19:12:00,78,False
2015-09-27 19:20:00,27,False
2015-09-27 19:28:00,27,False
2015-09-27 19:36:00,0,False
2015-09-27 19:44:00,0,False
2015-09-27 19:52:00,27,False
2015-09-27 20:00:00,28,False
2015-10-03 10:00:00,0,False
2015-10-03 10:08:00,0,False
2015-10-03 10:16:00,0,False
2015-10-03 10:24:00,0,False
2015-10-03 10:32:00,21,False
2015-10-03 10:40:00,40,False
2015-10-03 10:48:00,20,False
2015-10-03 10:56:00,0,False
2015-10-03 11:04:00,0,False
2015-10-03 11:12:00,19,False
2015-10-03 11:20:00,19,False
2015-10-03 11:28:00,0,False
2015-10-03 11:36:00,38,False
2015-10-03 11:44:00,74,False
2015-10-03 11:52:00,73,False
2015-10-03 12:00:00,18,False
2015-10-03 12:08:00,0,False
2015-10-03 12:16:00,53,False
2015-10-03 12:24:00,35,False
2015-10-03 12:32:00,35,False
2015-10-03 12:40:00,0,False
2015-10-03 12:48:00,17,False
2015-10-03 12:56:00,34,False
2015-10-03 13:04:00,100,False
2015-10-03 13:12:00,33,False
2015-10-03 13:20:00,16,False
2015-10-03 13:28:00,81,False
2015-10-03 13:36:00,81,False
2015-10-03 13:44:00,16,False
2015-10-03 13:52:00,0,False
2015-10-03 14:00:00,16,False
2015-10-03 14:08:00,47,False
2015-10-03 14:16:00,31,False
