date,West Ham Football Club,isPartial
2015-08-09 11:04:00,12,False
2015-08-09 11:12:00,0,False
2015-08-09 11:20:00,0,False
2015-08-09 11:28:00,12,False
2015-08-09 11:36:00,0,False
2015-08-09 11:44:00,34,False
2015-08-09 11:52:00,0,False
2015-08-09 12:00:00,33,False
2015-08-09 12:08:00,22,False
2015-08-09 12:16:00,22,False
2015-08-09 12:24:00,76,False
2015-08-09 12:32:00,43,False
2015-08-09 12:40:00,42,False
2015-08-09 12:48:00,32,False
2015-08-09 12:56:00,31,False
2015-08-09 13:04:00,72,False
2015-08-09 13:12:00,30,False
2015-08-09 13:20:00,30,False
2015-08-09 13:28:00,60,False
2015-08-09 13:36:00,100,False
2015-08-09 13:44:00,59,False
2015-08-09 13:52:00,59,False
2015-08-09 14:00:00,20,False
2015-08-09 14:08:00,78,False
2015-08-09 14:16:00,48,False
2015-08-09 14:24:00,38,False
2015-08-09 14:32:00,19,False
2015-08-09 14:40:00,19,False
2015-08-09 14:48:00,48,False
2015-08-09 14:56:00,28,False
2015-08-09 15:04:00,57,False
2015-08-09 15:12:00,9,False
2015-08-09 15:20:00,19,False
2015-08-09 15:28:00,0,False
2015-08-09 15:36:00,38,False
2015-08-09 15:44:00,19,False
2015-08-09 15:52:00,10,False
2015-08-09 16:00:00,10,False
2015-08-09 16:08:00,19,False
2015-08-09 16:16:00,39,False
2015-08-09 16:24:00,29,False
2015-08-09 16:32:00,10,False
2015-08-09 16:40:00,10,False
2015-08-09 16:48:00,10,False
2015-08-09 16:56:00,29,False
2015-08-15 13:04:00,87,False
2015-08-15 13:12:00,0,False
2015-08-15 13:20:00,0,False
2015-08-15 13:28:00,0,False
2015-08-15 13:36:00,63,False
2015-08-15 13:44:00,0,False
2015-08-15 13:52:00,21,False
2015-08-15 14:00:00,41,False
2015-08-15 14:08:00,82,False
2015-08-15 14:16:00,0,False
2015-08-15 14:24:00,0,False
2015-08-15 14:32:00,20,False
2015-08-15 14:40:00,0,False
2015-08-15 14:48:00,20,False
2015-08-15 14:56:00,40,False
2015-08-15 15:04:00,40,False
2015-08-15 15:12:00,100,False
2015-08-15 15:20:00,40,False
2015-08-15 15:28:00,100,False
2015-08-15 15:36:00,60,False
2015-08-15 15:44:00,0,False
2015-08-15 15:52:00,80,False
2015-08-15 16:00:00,20,False
2015-08-15 16:08:00,61,False
2015-08-15 16:16:00,41,False
2015-08-15 16:24:00,41,False
2015-08-15 16:32:00,21,False
2015-08-15 16:40:00,21,False
2015-08-15 16:48:00,21,False
2015-08-15 16:56:00,0,False
2015-08-15 17:04:00,0,False
2015-08-15 17:12:00,21,False
2015-08-15 17:20:00,21,False
2015-08-15 17:28:00,42,False
2015-08-15 17:36:00,21,False
2015-08-15 17:44:00,0,False
2015-08-15 17:52:00,21,False
2015-08-15 18:00:00,22,False
2015-08-15 18:08:00,87,False
2015-08-15 18:16:00,0,False
2015-08-15 18:24:00,0,False
2015-08-15 18:32:00,0,False
2015-08-15 18:40:00,0,False
2015-08-15 18:48:00,0,False
2015-08-15 18:56:00,23,False
2015-08-22 13:04:00,24,False
2015-08-22 13:12:00,48,False
2015-08-22 13:20:00,0,False
2015-08-22 13:28:00,0,False
2015-08-22 13:36:00,46,False
2015-08-22 13:44:00,23,False
2015-08-22 13:52:00,69,False
