date,Aston Villa Football Club,Aston Villa,isPartial
2015-08-08 13:04:00,0,31,False
2015-08-08 13:12:00,0,31,False
2015-08-08 13:20:00,0,33,False
2015-08-08 13:28:00,0,34,False
2015-08-08 13:36:00,0,68,False
2015-08-08 13:44:00,0,70,False
2015-08-08 13:52:00,0,78,False
2015-08-08 14:00:00,1,100,False
2015-08-08 14:08:00,1,75,False
2015-08-08 14:16:00,0,60,False
2015-08-08 14:24:00,0,60,False
2015-08-08 14:32:00,0,52,False
2015-08-08 14:40:00,0,54,False
2015-08-08 14:48:00,0,49,False
2015-08-08 14:56:00,0,44,False
2015-08-08 15:04:00,0,56,False
2015-08-08 15:12:00,0,57,False
2015-08-08 15:20:00,0,56,False
2015-08-08 15:28:00,0,67,False
2015-08-08 15:36:00,0,56,False
2015-08-08 15:44:00,0,56,False
2015-08-08 15:52:00,0,60,False
2015-08-08 16:00:00,0,51,False
2015-08-08 16:08:00,0,42,False
2015-08-08 16:16:00,0,36,False
2015-08-08 16:24:00,0,31,False
2015-08-08 16:32:00,0,34,False
2015-08-08 16:40:00,0,33,False
2015-08-08 16:48:00,0,28,False
2015-08-08 16:56:00,0,31,False
2015-08-08 17:04:00,0,30,False
2015-08-08 17:12:00,0,31,False
2015-08-08 17:20:00,0,28,False
2015-08-08 17:28:00,0,28,False
2015-08-08 17:36:00,0,22,False
2015-08-08 17:44:00,0,21,False
2015-08-08 17:52:00,0,26,False
2015-08-08 18:00:00,0,24,False
2015-08-08 18:08:00,0,21,False
2015-08-08 18:16:00,0,21,False
2015-08-08 18:24:00,0,30,False
2015-08-08 18:32:00,0,25,False
2015-08-08 18:40:00,0,24,False
2015-08-08 18:48:00,0,24,False
2015-08-08 18:56:00,0,23,False
2015-08-14 17:04:00,0,21,False
2015-08-14 17:12:00,0,23,False
2015-08-14 17:20:00,0,25,False
2015-08-14 17:28:00,0,27,False
2015-08-14 17:36:00,0,28,False
2015-08-14 17:44:00,0,31,False
2015-08-14 17:52:00,0,33,False
2015-08-14 18:00:00,0,35,False
2015-08-14 18:08:00,0,37,False
2015-08-14 18:16:00,0,43,False
2015-08-14 18:24:00,0,55,False
2015-08-14 18:32:00,0,71,False
2015-08-14 18:40:00,0,97,False
2015-08-14 18:48:00,0,100,False
2015-08-14 18:56:00,0,89,False
2015-08-14 19:04:00,0,80,False
2015-08-14 19:12:00,0,80,False
2015-08-14 19:20:00,0,74,False
2015-08-14 19:28:00,0,66,False
2015-08-14 19:36:00,0,57,False
2015-08-14 19:44:00,0,59,False
2015-08-14 19:52:00,0,64,False
2015-08-14 20:00:00,0,68,False
2015-08-14 20:08:00,0,59,False
2015-08-14 20:16:00,0,57,False
2015-08-14 20:24:00,0,57,False
2015-08-14 20:32:00,0,60,False
2015-08-14 20:40:00,0,51,False
2015-08-14 20:48:00,0,44,False
2015-08-14 20:56:00,0,37,False
2015-08-14 21:04:00,0,34,False
2015-08-14 21:12:00,0,29,False
2015-08-14 21:20:00,0,26,False
2015-08-14 21:28:00,0,26,False
2015-08-14 21:36:00,0,22,False
2015-08-14 21:44:00,0,22,False
2015-08-14 21:52:00,0,22,False
2015-08-14 22:00:00,0,20,False
2015-08-14 22:08:00,0,20,False
2015-08-14 22:16:00,0,19,False
2015-08-14 22:24:00,0,19,False
2015-08-14 22:32:00,0,19,False
2015-08-14 22:40:00,0,18,False
2015-08-14 22:48:00,0,18,False
2015-08-14 22:56:00,0,18,False
2015-08-22 13:04:00,0,45,False
2015-08-22 13:12:00,0,49,False
2015-08-22 13:20:00,0,44,False
2015-08-22 13:28:00,0,47,False
2015-08-22 13:36:00,0,77,False
2015-08-22 13:44:00,0,76,False
2015-08-22 13:52:00,0,93,False
2015-08-22 14:00:00,0,100,False
2015-08-22 14:08:00,0,84,False
2015-08-22 14:16:00,0,75,False
2015-08-22 14:24:00,0,75,False
2015-08-22 14:32:00,0,69,False
2015-08-22 14:40:00,0,60,False
2015-08-22 14:48:00,0,54,False
2015-08-22 14:56:00,0,59,False
2015-08-22 15:04:00,0,64,False
2015-08-22 15:12:00,0,71,False
2015-08-22 15:20:00,0,77,False
2015-08-22 15:28:00,1,86,False
2015-08-22 15:36:00,1,76,False
2015-08-22 15:44:00,0,75,False
2015-08-22 15:52:00,0,84,False
2015-08-22 16:00:00,0,64,False
2015-08-22 16:08:00,0,57,False
2015-08-22 16:16:00,0,52,False
2015-08-22 16:24:00,0,45,False
2015-08-22 16:32:00,0,41,False
2015-08-22 16:40:00,0,39,False
2015-08-22 16:48:00,0,41,False
2015-08-22 16:56:00,0,41,False
2015-08-22 17:04:00,1,45,False
2015-08-22 17:12:00,0,41,False
2015-08-22 17:20:00,0,35,False
2015-08-22 17:28:00,0,32,False
2015-08-22 17:36:00,0,31,False
2015-08-22 17:44:00,0,37,False
2015-08-22 17:52:00,0,35,False
2015-08-22 18:00:00,0,29,False
2015-08-22 18:08:00,0,31,False
2015-08-22 18:16:00,0,35,False
2015-08-22 18:24:00,0,32,False
2015-08-22 18:32:00,0,28,False
2015-08-22 18:40:00,0,31,False
2015-08-22 18:48:00,0,28,False
2015-08-22 18:56:00,0,29,False
2015-08-29 13:04:00,0,50,False
2015-08-29 13:12:00,0,50,False
2015-08-29 13:20:00,0,50,False
2015-08-29 13:28:00,0,49,False
2015-08-29 13:36:00,0,52,False
2015-08-29 13:44:00,0,67,False
2015-08-29 13:52:00,0,73,False
2015-08-29 14:00:00,0,91,False
2015-08-29 14:08:00,0,100,False
