date,Stoke City Football Club,isPartial
2015-08-29 16:40:00,49,False
2015-08-29 16:48:00,49,False
2015-08-29 16:56:00,99,False
2015-08-29 17:04:00,100,False
2015-08-29 17:12:00,0,False
2015-08-29 17:20:00,0,False
2015-08-29 17:28:00,0,False
2015-08-29 17:36:00,51,False
2015-08-29 17:44:00,0,False
2015-08-29 17:52:00,0,False
2015-08-29 18:00:00,0,False
2015-08-29 18:08:00,0,False
2015-08-29 18:16:00,52,False
2015-08-29 18:24:00,0,False
2015-08-29 18:32:00,0,False
2015-08-29 18:40:00,0,False
2015-08-29 18:48:00,0,False
2015-08-29 18:56:00,0,False
2015-09-12 13:04:00,0,False
2015-09-12 13:12:00,0,False
2015-09-12 13:20:00,0,False
2015-09-12 13:28:00,34,False
2015-09-12 13:36:00,34,False
2015-09-12 13:44:00,100,False
2015-09-12 13:52:00,0,False
2015-09-12 14:00:00,0,False
2015-09-12 14:08:00,33,False
2015-09-12 14:16:00,0,False
2015-09-12 14:24:00,33,False
2015-09-12 14:32:00,65,False
2015-09-12 14:40:00,0,False
2015-09-12 14:48:00,0,False
2015-09-12 14:56:00,32,False
2015-09-12 15:04:00,33,False
2015-09-12 15:12:00,32,False
2015-09-12 15:20:00,32,False
2015-09-12 15:28:00,32,False
2015-09-12 15:36:00,0,False
2015-09-12 15:44:00,97,False
2015-09-12 15:52:00,32,False
2015-09-12 16:00:00,64,False
2015-09-12 16:08:00,0,False
2015-09-12 16:16:00,0,False
2015-09-12 16:24:00,32,False
2015-09-12 16:32:00,0,False
2015-09-12 16:40:00,0,False
2015-09-12 16:48:00,0,False
2015-09-12 16:56:00,0,False
2015-09-12 17:04:00,33,False
2015-09-12 17:12:00,33,False
2015-09-12 17:20:00,0,False
2015-09-12 17:28:00,0,False
2015-09-12 17:36:00,34,False
2015-09-12 17:44:00,0,False
2015-09-12 17:52:00,0,False
2015-09-12 18:00:00,0,False
2015-09-12 18:08:00,34,False
2015-09-12 18:16:00,0,False
2015-09-12 18:24:00,0,False
2015-09-12 18:32:00,0,False
2015-09-12 18:40:00,0,False
2015-09-12 18:48:00,0,False
2015-09-12 18:56:00,0,False
2015-09-19 13:04:00,36,False
2015-09-19 13:12:00,36,False
2015-09-19 13:20:00,0,False
2015-09-19 13:28:00,0,False
2015-09-19 13:36:00,0,False
2015-09-19 13:44:00,0,False
2015-09-19 13:52:00,34,False
2015-09-19 14:00:00,0,False
2015-09-19 14:08:00,34,False
2015-09-19 14:16:00,34,False
2015-09-19 14:24:00,0,False
2015-09-19 14:32:00,0,False
2015-09-19 14:40:00,0,False
2015-09-19 14:48:00,100,False
2015-09-19 14:56:00,100,False
2015-09-19 15:04:00,0,False
2015-09-19 15:12:00,33,False
2015-09-19 15:20:00,33,False
2015-09-19 15:28:00,33,False
2015-09-19 15:36:00,33,False
2015-09-19 15:44:00,0,False
2015-09-19 15:52:00,33,False
2015-09-19 16:00:00,0,False
2015-09-19 16:08:00,0,False
2015-09-19 16:16:00,67,False
2015-09-19 16:24:00,0,False
2015-09-19 16:32:00,34,False
2015-09-19 16:40:00,34,False
2015-09-19 16:48:00,0,False
2015-09-19 16:56:00,0,False
2015-09-19 17:04:00,0,False
2015-09-19 17:12:00,0,False
2015-09-19 17:20:00,0,False
2015-09-19 17:28:00,35,False
2015-09-19 17:36:00,35,False
2015-09-19 17:44:00,0,False
2015-09-19 17:52:00,0,False
2015-09-19 18:00:00,0,False
2015-09-19 18:08:00,0,False
2015-09-19 18:16:00,0,False
2015-09-19 18:24:00,0,False
2015-09-19 18:32:00,36,False
2015-09-19 18:40:00,0,False
2015-09-19 18:48:00,0,False
2015-09-19 18:56:00,0,False
2015-09-26 13:04:00,0,False
2015-09-26 13:12:00,36,False
2015-09-26 13:20:00,36,False
2015-09-26 13:28:00,0,False
2015-09-26 13:36:00,35,False
2015-09-26 13:44:00,0,False
2015-09-26 13:52:00,0,False
2015-09-26 14:00:00,0,False
2015-09-26 14:08:00,34,False
2015-09-26 14:16:00,34,False
2015-09-26 14:24:00,34,False
2015-09-26 14:32:00,0,False
2015-09-26 14:40:00,34,False
2015-09-26 14:48:00,100,False
2015-09-26 14:56:00,0,False
2015-09-26 15:04:00,67,False
2015-09-26 15:12:00,0,False
2015-09-26 15:20:00,0,False
2015-09-26 15:28:00,33,False
2015-09-26 15:36:00,0,False
2015-09-26 15:44:00,0,False
2015-09-26 15:52:00,0,False
2015-09-26 16:00:00,0,False
2015-09-26 16:08:00,66,False
2015-09-26 16:16:00,33,False
2015-09-26 16:24:00,33,False
2015-09-26 16:32:00,34,False
2015-09-26 16:40:00,0,False
2015-09-26 16:48:00,34,False
2015-09-26 16:56:00,34,False
2015-09-26 17:04:00,0,False
2015-09-26 17:12:00,0,False
2015-09-26 17:20:00,0,False
2015-09-26 17:28:00,35,False
2015-09-26 17:36:00,35,False
2015-09-26 17:44:00,0,False
2015-09-26 17:52:00,35,False
2015-09-26 18:00:00,35,False
2015-09-26 18:08:00,0,False
2015-09-26 18:16:00,36,False
2015-09-26 18:24:00,0,False
2015-09-26 18:32:00,0,False
2015-09-26 18:40:00,36,False
2015-09-26 18:48:00,0,False
2015-09-26 18:56:00,0,False
2015-10-03 13:04:00,0,False
2015-10-03 13:12:00,0,False
2015-10-03 13:20:00,0,False
2015-10-03 13:28:00,0,False
2015-10-03 13:36:00,49,False
2015-10-03 13:44:00,0,False
2015-10-03 13:52:00,48,False
2015-10-03 14:00:00,48,False
2015-10-03 14:08:00,0,False
2015-10-03 14:16:00,0,False
2015-10-03 14:24:00,0,False
2015-10-03 14:32:00,0,False
2015-10-03 14:40:00,0,False
2015-10-03 14:48:00,0,False
2015-10-03 14:56:00,0,False
2015-10-03 15:04:00,0,False
2015-10-03 15:12:00,46,False
2015-10-03 15:20:00,0,False
2015-10-03 15:28:00,0,False
2015-10-03 15:36:00,0,False
2015-10-03 15:44:00,0,False
2015-10-03 15:52:00,0,False
2015-10-03 16:00:00,91,False
2015-10-03 16:08:00,0,False
2015-10-03 16:16:00,0,False
2015-10-03 16:24:00,46,False
2015-10-03 16:32:00,92,False
2015-10-03 16:40:00,0,False
2015-10-03 16:48:00,0,False
2015-10-03 16:56:00,94,False
2015-10-03 17:04:00,47,False
2015-10-03 17:12:00,0,False
2015-10-03 17:20:00,0,False
2015-10-03 17:28:00,0,False
2015-10-03 17:36:00,0,False
2015-10-03 17:44:00,0,False
2015-10-03 17:52:00,48,False
2015-10-03 18:00:00,0,False
2015-10-03 18:08:00,98,False
