date,Crystal Palace Football Club,Crystal Palace,isPartial
2015-08-08 13:04:00,0,42,False
2015-08-08 13:12:00,0,36,False
2015-08-08 13:20:00,0,42,False
2015-08-08 13:28:00,0,37,False
2015-08-08 13:36:00,0,72,False
2015-08-08 13:44:00,0,77,False
2015-08-08 13:52:00,0,85,False
2015-08-08 14:00:00,0,100,False
2015-08-08 14:08:00,1,77,False
2015-08-08 14:16:00,0,68,False
2015-08-08 14:24:00,0,75,False
2015-08-08 14:32:00,0,67,False
2015-08-08 14:40:00,0,83,False
2015-08-08 14:48:00,0,79,False
2015-08-08 14:56:00,0,73,False
2015-08-08 15:04:00,0,75,False
2015-08-08 15:12:00,0,81,False
2015-08-08 15:20:00,0,77,False
2015-08-08 15:28:00,1,70,False
2015-08-08 15:36:00,0,64,False
2015-08-08 15:44:00,0,70,False
2015-08-08 15:52:00,1,92,False
2015-08-08 16:00:00,0,72,False
2015-08-08 16:08:00,0,59,False
2015-08-08 16:16:00,0,56,False
2015-08-08 16:24:00,0,47,False
2015-08-08 16:32:00,0,47,False
2015-08-08 16:40:00,0,45,False
2015-08-08 16:48:00,0,41,False
2015-08-08 16:56:00,0,44,False
2015-08-08 17:04:00,0,42,False
2015-08-08 17:12:00,0,39,False
2015-08-08 17:20:00,0,45,False
2015-08-08 17:28:00,0,38,False
2015-08-08 17:36:00,0,38,False
2015-08-08 17:44:00,0,34,False
2015-08-08 17:52:00,0,35,False
2015-08-08 18:00:00,0,38,False
2015-08-08 18:08:00,0,31,False
2015-08-08 18:16:00,0,33,False
2015-08-08 18:24:00,0,44,False
2015-08-08 18:32:00,0,39,False
2015-08-08 18:40:00,0,33,False
2015-08-08 18:48:00,0,35,False
2015-08-08 18:56:00,0,34,False
2015-08-16 11:04:00,0,18,False
2015-08-16 11:12:00,0,19,False
2015-08-16 11:20:00,0,23,False
2015-08-16 11:28:00,0,27,False
2015-08-16 11:36:00,0,28,False
2015-08-16 11:44:00,0,27,False
2015-08-16 11:52:00,0,31,False
2015-08-16 12:00:00,0,37,False
2015-08-16 12:08:00,0,43,False
2015-08-16 12:16:00,0,60,False
2015-08-16 12:24:00,0,95,False
2015-08-16 12:32:00,0,100,False
2015-08-16 12:40:00,0,88,False
2015-08-16 12:48:00,0,90,False
2015-08-16 12:56:00,0,99,False
2015-08-16 13:04:00,0,75,False
2015-08-16 13:12:00,0,66,False
