date,West Bromwich Albion Football Club,isPartial
2015-08-10 18:00:00,0,False
2015-08-10 18:08:00,0,False
2015-08-10 18:16:00,0,False
2015-08-10 18:24:00,32,False
2015-08-10 18:32:00,0,False
2015-08-10 18:40:00,32,False
2015-08-10 18:48:00,32,False
2015-08-10 18:56:00,32,False
2015-08-10 19:04:00,65,False
2015-08-10 19:12:00,98,False
2015-08-10 19:20:00,0,False
2015-08-10 19:28:00,33,False
2015-08-10 19:36:00,66,False
2015-08-10 19:44:00,0,False
2015-08-10 19:52:00,100,False
2015-08-10 20:00:00,34,False
2015-08-10 20:08:00,0,False
2015-08-10 20:16:00,0,False
2015-08-10 20:24:00,69,False
2015-08-10 20:32:00,70,False
2015-08-10 20:40:00,36,False
2015-08-10 20:48:00,0,False
2015-08-10 20:56:00,0,False
2015-08-10 21:04:00,0,False
2015-08-10 21:12:00,38,False
2015-08-10 21:20:00,0,False
2015-08-10 21:28:00,0,False
2015-08-10 21:36:00,41,False
2015-08-10 21:44:00,83,False
2015-08-10 21:52:00,43,False
2015-08-10 22:00:00,0,False
2015-08-10 22:08:00,0,False
2015-08-10 22:16:00,0,False
2015-08-10 22:24:00,0,False
2015-08-10 22:32:00,0,False
2015-08-10 22:40:00,0,False
2015-08-10 22:48:00,0,False
2015-08-10 22:56:00,0,False
2015-08-10 23:04:00,0,False
2015-08-10 23:12:00,0,False
2015-08-10 23:20:00,50,False
2015-08-10 23:28:00,0,False
2015-08-10 23:36:00,0,False
2015-08-10 23:44:00,0,False
2015-08-10 23:52:00,0,False
2015-08-11 00:00:00,52,False
2015-08-15 13:04:00,0,False
2015-08-15 13:12:00,0,False
2015-08-15 13:20:00,50,False
2015-08-15 13:28:00,0,False
2015-08-15 13:36:00,0,False
2015-08-15 13:44:00,0,False
2015-08-15 13:52:00,48,False
2015-08-15 14:00:00,0,False
2015-08-15 14:08:00,0,False
2015-08-15 14:16:00,0,False
2015-08-15 14:24:00,0,False
2015-08-15 14:32:00,0,False
2015-08-15 14:40:00,47,False
2015-08-15 14:48:00,0,False
2015-08-15 14:56:00,0,False
2015-08-15 15:04:00,0,False
