date,Southampton Football Club,isPartial
2015-08-30 14:32:00,12,False
2015-08-30 14:40:00,35,False
2015-08-30 14:48:00,80,False
2015-08-30 14:56:00,34,False
2015-08-30 15:04:00,46,False
2015-08-30 15:12:00,46,False
2015-08-30 15:20:00,23,False
2015-08-30 15:28:00,11,False
2015-08-30 15:36:00,12,False
2015-08-30 15:44:00,23,False
2015-08-30 15:52:00,23,False
2015-08-30 16:00:00,57,False
2015-08-30 16:08:00,12,False
2015-08-30 16:16:00,46,False
2015-08-30 16:24:00,58,False
2015-08-30 16:32:00,70,False
2015-08-30 16:40:00,23,False
2015-08-30 16:48:00,35,False
2015-08-30 16:56:00,23,False
2015-09-12 13:04:00,53,False
2015-09-12 13:12:00,52,False
2015-09-12 13:20:00,51,False
2015-09-12 13:28:00,25,False
2015-09-12 13:36:00,50,False
2015-09-12 13:44:00,75,False
2015-09-12 13:52:00,74,False
2015-09-12 14:00:00,0,False
2015-09-12 14:08:00,74,False
2015-09-12 14:16:00,97,False
2015-09-12 14:24:00,97,False
2015-09-12 14:32:00,0,False
2015-09-12 14:40:00,73,False
2015-09-12 14:48:00,48,False
2015-09-12 14:56:00,48,False
2015-09-12 15:04:00,73,False
2015-09-12 15:12:00,73,False
2015-09-12 15:20:00,0,False
2015-09-12 15:28:00,24,False
2015-09-12 15:36:00,24,False
2015-09-12 15:44:00,72,False
2015-09-12 15:52:00,24,False
2015-09-12 16:00:00,72,False
2015-09-12 16:08:00,48,False
2015-09-12 16:16:00,24,False
2015-09-12 16:24:00,24,False
2015-09-12 16:32:00,24,False
2015-09-12 16:40:00,73,False
2015-09-12 16:48:00,24,False
2015-09-12 16:56:00,0,False
2015-09-12 17:04:00,25,False
2015-09-12 17:12:00,74,False
2015-09-12 17:20:00,49,False
2015-09-12 17:28:00,100,False
2015-09-12 17:36:00,25,False
2015-09-12 17:44:00,25,False
2015-09-12 17:52:00,76,False
2015-09-12 18:00:00,0,False
2015-09-12 18:08:00,0,False
2015-09-12 18:16:00,0,False
2015-09-12 18:24:00,26,False
2015-09-12 18:32:00,0,False
2015-09-12 18:40:00,26,False
2015-09-12 18:48:00,26,False
2015-09-12 18:56:00,53,False
2015-09-20 14:00:00,10,False
2015-09-20 14:08:00,21,False
2015-09-20 14:16:00,10,False
2015-09-20 14:24:00,41,False
2015-09-20 14:32:00,10,False
2015-09-20 14:40:00,10,False
2015-09-20 14:48:00,51,False
2015-09-20 14:56:00,20,False
2015-09-20 15:04:00,90,False
2015-09-20 15:12:00,70,False
2015-09-20 15:20:00,70,False
2015-09-20 15:28:00,100,False
2015-09-20 15:36:00,50,False
2015-09-20 15:44:00,50,False
2015-09-20 15:52:00,70,False
2015-09-20 16:00:00,40,False
2015-09-20 16:08:00,40,False
2015-09-20 16:16:00,30,False
2015-09-20 16:24:00,70,False
2015-09-20 16:32:00,80,False
2015-09-20 16:40:00,90,False
2015-09-20 16:48:00,70,False
2015-09-20 16:56:00,69,False
2015-09-20 17:04:00,40,False
2015-09-20 17:12:00,70,False
2015-09-20 17:20:00,40,False
2015-09-20 17:28:00,40,False
2015-09-20 17:36:00,10,False
2015-09-20 17:44:00,20,False
2015-09-20 17:52:00,20,False
2015-09-20 18:00:00,30,False
2015-09-20 18:08:00,41,False
2015-09-20 18:16:00,10,False
2015-09-20 18:24:00,31,False
2015-09-20 18:32:00,21,False
2015-09-20 18:40:00,31,False
2015-09-20 18:48:00,21,False
2015-09-20 18:56:00,21,False
2015-09-20 19:04:00,32,False
2015-09-20 19:12:00,21,False
2015-09-20 19:20:00,11,False
2015-09-20 19:28:00,33,False
2015-09-20 19:36:00,11,False
2015-09-20 19:44:00,22,False
2015-09-20 19:52:00,11,False
2015-09-20 20:00:00,0,False
2015-09-26 13:04:00,22,False
2015-09-26 13:12:00,43,False
2015-09-26 13:20:00,86,False
2015-09-26 13:28:00,0,False
2015-09-26 13:36:00,42,False
2015-09-26 13:44:00,42,False
2015-09-26 13:52:00,82,False
2015-09-26 14:00:00,41,False
2015-09-26 14:08:00,20,False
2015-09-26 14:16:00,61,False
2015-09-26 14:24:00,20,False
2015-09-26 14:32:00,61,False
2015-09-26 14:40:00,0,False
2015-09-26 14:48:00,40,False
2015-09-26 14:56:00,40,False
2015-09-26 15:04:00,40,False
2015-09-26 15:12:00,40,False
2015-09-26 15:20:00,80,False
2015-09-26 15:28:00,80,False
2015-09-26 15:36:00,20,False
2015-09-26 15:44:00,100,False
2015-09-26 15:52:00,59,False
2015-09-26 16:00:00,59,False
2015-09-26 16:08:00,79,False
2015-09-26 16:16:00,40,False
2015-09-26 16:24:00,60,False
2015-09-26 16:32:00,40,False
2015-09-26 16:40:00,40,False
2015-09-26 16:48:00,20,False
2015-09-26 16:56:00,20,False
2015-09-26 17:04:00,0,False
2015-09-26 17:12:00,41,False
2015-09-26 17:20:00,0,False
2015-09-26 17:28:00,21,False
2015-09-26 17:36:00,62,False
2015-09-26 17:44:00,42,False
2015-09-26 17:52:00,21,False
2015-09-26 18:00:00,0,False
2015-09-26 18:08:00,63,False
2015-09-26 18:16:00,21,False
2015-09-26 18:24:00,21,False
2015-09-26 18:32:00,65,False
2015-09-26 18:40:00,22,False
2015-09-26 18:48:00,22,False
2015-09-26 18:56:00,44,False
2015-10-03 15:04:00,6,False
2015-10-03 15:12:00,0,False
2015-10-03 15:20:00,0,False
2015-10-03 15:28:00,6,False
2015-10-03 15:36:00,6,False
2015-10-03 15:44:00,0,False
2015-10-03 15:52:00,17,False
2015-10-03 16:00:00,6,False
2015-10-03 16:08:00,12,False
2015-10-03 16:16:00,12,False
2015-10-03 16:24:00,0,False
2015-10-03 16:32:00,24,False
2015-10-03 16:40:00,18,False
2015-10-03 16:48:00,18,False
2015-10-03 16:56:00,36,False
2015-10-03 17:04:00,24,False
2015-10-03 17:12:00,43,False
2015-10-03 17:20:00,37,False
2015-10-03 17:28:00,18,False
2015-10-03 17:36:00,43,False
2015-10-03 17:44:00,55,False
2015-10-03 17:52:00,56,False
2015-10-03 18:00:00,100,False
2015-10-03 18:08:00,57,False
2015-10-03 18:16:00,83,False
2015-10-03 18:24:00,89,False
2015-10-03 18:32:00,26,False
2015-10-03 18:40:00,58,False
2015-10-03 18:48:00,45,False
2015-10-03 18:56:00,26,False
2015-10-03 19:04:00,7,False
2015-10-03 19:12:00,13,False
2015-10-03 19:20:00,13,False
2015-10-03 19:28:00,34,False
2015-10-03 19:36:00,14,False
2015-10-03 19:44:00,34,False
2015-10-03 19:52:00,7,False
2015-10-03 20:00:00,14,False
2015-10-03 20:08:00,21,False
2015-10-03 20:16:00,14,False
2015-10-03 20:24:00,22,False
2015-10-03 20:32:00,15,False
2015-10-03 20:40:00,15,False
2015-10-03 20:48:00,8,False
2015-10-03 20:56:00,0,False
2015-10-17 13:04:00,28,False
2015-10-17 13:12:00,14,False
2015-10-17 13:20:00,27,False
2015-10-17 13:28:00,27,False
2015-10-17 13:36:00,13,False
2015-10-17 13:44:00,13,False
2015-10-17 13:52:00,53,False
2015-10-17 14:00:00,0,False
2015-10-17 14:08:00,26,False
2015-10-17 14:16:00,26,False
2015-10-17 14:24:00,13,False
2015-10-17 14:32:00,26,False
2015-10-17 14:40:00,52,False
2015-10-17 14:48:00,64,False
2015-10-17 14:56:00,89,False
2015-10-17 15:04:00,39,False
2015-10-17 15:12:00,64,False
2015-10-17 15:20:00,64,False
2015-10-17 15:28:00,38,False
2015-10-17 15:36:00,64,False
2015-10-17 15:44:00,51,False
2015-10-17 15:52:00,100,False
2015-10-17 16:00:00,63,False
2015-10-17 16:08:00,51,False
2015-10-17 16:16:00,26,False
2015-10-17 16:24:00,26,False
2015-10-17 16:32:00,0,False
2015-10-17 16:40:00,26,False
2015-10-17 16:48:00,13,False
2015-10-17 16:56:00,26,False
2015-10-17 17:04:00,39,False
2015-10-17 17:12:00,13,False
2015-10-17 17:20:00,13,False
2015-10-17 17:28:00,26,False
2015-10-17 17:36:00,40,False
2015-10-17 17:44:00,40,False
2015-10-17 17:52:00,0,False
2015-10-17 18:00:00,27,False
2015-10-17 18:08:00,55,False
2015-10-17 18:16:00,0,False
2015-10-17 18:24:00,0,False
2015-10-17 18:32:00,28,False
2015-10-17 18:40:00,14,False
2015-10-17 18:48:00,14,False
2015-10-17 18:56:00,14,False
2015-10-25 14:00:00,10,False
2015-10-25 14:08:00,10,False
2015-10-25 14:16:00,21,False
2015-10-25 14:24:00,0,False
2015-10-25 14:32:00,0,False
2015-10-25 14:40:00,10,False
2015-10-25 14:48:00,0,False
2015-10-25 14:56:00,0,False
2015-10-25 15:04:00,10,False
2015-10-25 15:12:00,0,False
2015-10-25 15:20:00,0,False
2015-10-25 15:28:00,20,False
2015-10-25 15:36:00,10,False
2015-10-25 15:44:00,10,False
2015-10-25 15:52:00,59,False
2015-10-25 16:00:00,10,False
2015-10-25 16:08:00,20,False
2015-10-25 16:16:00,49,False
2015-10-25 16:24:00,30,False
2015-10-25 16:32:00,20,False
2015-10-25 16:40:00,20,False
2015-10-25 16:48:00,39,False
2015-10-25 16:56:00,78,False
